accession_id,species,tax_id,class,order,infraorder,family,genus
AY684273.2,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos
EF494177.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos
EF494179.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos
GQ464246.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos
GQ464247.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos
GQ464248.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos
GQ464250.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos
GQ464251.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos
GQ464252.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos
GQ464253.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos
GQ464254.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos
GQ464255.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos
GQ464256.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos
GQ464257.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos
GQ464260.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos
GQ464261.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos
GQ464262.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos
GQ464263.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos
GQ464265.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos
GQ464266.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos
GQ464267.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos
