accession_id,species,tax_id,class,order,infraorder,family,genus,rep_tax,cat
AY684273.2,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
EF494177.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
EF494179.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
GQ464246.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
GQ464247.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
GQ464248.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
GQ464250.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
GQ464251.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
GQ464252.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
GQ464253.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
GQ464254.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
GQ464255.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
GQ464256.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
GQ464257.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
GQ464260.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
GQ464261.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
GQ464262.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
GQ464263.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
GQ464265.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
GQ464266.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
GQ464267.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
GQ464268.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
GQ464269.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
GQ464270.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
GQ464271.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
GQ464272.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
GQ464273.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
GQ464274.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
GQ464275.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
GQ464277.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
GQ464279.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
GQ464280.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
GQ464281.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
GQ464282.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
GQ464283.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
GQ464284.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
GQ464285.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
GQ464287.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
GQ464288.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
GQ464289.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
GQ464290.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
GQ464291.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
GQ464293.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
GQ464295.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
GQ464296.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
GQ464297.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
GQ464301.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
GQ464302.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
GQ464303.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
GQ464304.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
GQ464305.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
GQ464306.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
GQ464307.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
GQ464308.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
GQ464309.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
GQ464310.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
GQ464311.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
GQ464312.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
GQ464314.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
JQ692071.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
JQ437480.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
JQ846020.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
JQ846021.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
JQ846022.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
KJ704989.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
KM658599.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
KR052524.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
KR011113.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
KU891851.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
KX232521.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
KX232522.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
KX232524.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
KX232525.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
KX232526.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
KX232527.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
MG837551.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
MH921427.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
MK124955.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
MK124956.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
MN163006.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
MN398192.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
MK922355.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
MK922356.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
MK704512.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
MN319467.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
MK796240.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
MN175233.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
MN176980.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
MT649465.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
MT649466.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
MT162465.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
MT916767.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
MW414100.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
MW414101.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
MW414102.1,Bos grunniens,30521,Mammalia,Artiodactyla,Pecora,Bovidae,Bos,mammal,vertebrate
