"primer_name","n_amp_seq","n_amp_region","n_dup"
"Ceto2",34904,35044,140
"Dc1458_1638",16234,16236,2
"Dc1465F_Dc1646R",22039,22107,68
"Dc2173_2580",13143,13152,9
"Dc2385_2580",13164,13171,7
"Dc2430_2580",13165,13166,1
"Dc2438F_Mu2563R",19762,19768,6
"Dc2505_2580",13150,13170,20
"Dc321F_Dc495R",21576,21582,6
"Dc494F_Mu643R",12586,12586,0
"Dc671F_Dc1015R",15095,15101,6
"Dc671F_Mu1021R",15080,15086,6
"MarVer1",35829,35991,162
"MarVer2",35916,36726,810
"MarVer3",35839,35876,37
"MiMammal",22291,22296,5
"Mu2084F_Dc2438R",13670,13671,1
"Mu2187F_Dc2438R",13382,13383,1
"Mu2187F_Mu2563R",11145,11146,1
"Mu31F_Dc320R",10607,10620,13
"Mu31F_MiMammalR",12014,12015,1
"Mu642F_Dc1015R",12562,12562,0
"Mu642F_Mu1021R",12544,12544,0
"Mu9459F_Mu9822R",7534,7537,3
"Mu9459F_Mu9834R",7345,7347,2
"Riaz12S",35489,35697,208
