"primer_name","n_amp_seq","n_amp_region","n_dup"
"Ceto2F",36055,45623,9568
"Ceto2R",35980,36043,63
"Dc1015R",35897,35953,56
"Dc1458F",23404,23428,24
"Dc1465F",33519,36061,2542
"Dc1638R",17707,17717,10
"Dc1646R",31205,32581,1376
"Dc2173F",35927,35957,30
"Dc2385F",35360,35398,38
"Dc2430F",35847,35867,20
"Dc2438F",35856,36234,378
"Dc2438R",35849,35877,28
"Dc2505F",35976,36020,44
"Dc2580R",16578,16600,22
"Dc320R",31343,31734,391
"Dc321F",31655,31737,82
"Dc494F",35879,35904,25
"Dc495R",35884,35912,28
"Dc671F",20293,20614,321
"MarVer1F",36022,46196,10174
"MarVer1R",35972,36579,607
"MarVer2F",36228,187751,151523
"MarVer2R",36059,42117,6058
"MarVer3F",36129,50962,14833
"MarVer3R",36068,37321,1253
"MiMammalF",32562,32594,32
"MiMammalR",35871,35895,24
"Mu1021R",35867,36866,999
"Mu2084F",19268,19274,6
"Mu2187F",16752,18152,1400
"Mu2563R",25619,25636,17
"Mu31F",21878,22002,124
"Mu642F",20136,20156,20
"Mu643R",20143,20168,25
"Mu9459F",12546,12547,1
"Mu9822R",35101,61423,26322
"Mu9834R",36091,134145,98054
"Riaz12SF",35991,39961,3970
"Riaz12SR",35775,38396,2621
