Taxa_ID,Genus_Species,Target,Order,Suborder,Family,Genus,Species,ncbi_id,URL
TX143,Bos taurus,non_target,Artiodactyla,Artiodactyla,Bovidae,Bos,taurus,NC_006853.1,https://www.ncbi.nlm.nih.gov/nuccore/NC_006853.1
TX144,Sus scrofa,non_target,Artiodactyla,Artiodactyla,Suidae,Sus,scrofa,NC_000845.1,https://www.ncbi.nlm.nih.gov/nuccore/NC_000845.1
TX145,Mus musculus,non_target,Rodentia,Myomorpha,Muridae,Mus,musculus,NC_005089.1,https://www.ncbi.nlm.nih.gov/nuccore/NC_005089.1
TX147,Felis catus,non_target,Carnivora,Feliformia,Felidae,Felis,catus,NC_001700.1,https://www.ncbi.nlm.nih.gov/nuccore/NC_001700.1
TX148,Canis lupus,non_target,Carnivora,Caniformia,Canidae,Canis,lupus,NC_008092.1,https://www.ncbi.nlm.nih.gov/nuccore/NC_008092.1
TX146,Homo sapiens,non_target,Primates,Haplorrhini,Hominidae,Homo,sapiens,NC_012920.1,https://www.ncbi.nlm.nih.gov/nuccore/NC_012920.1
TX149,Homo sapiens,non_target,Primates,Haplorrhini,Hominidae,Homo,sapiens,AY339432,https://www.ncbi.nlm.nih.gov/nuccore/AY339432
TX150,Homo sapiens,non_target,Primates,Haplorrhini,Hominidae,Homo,sapiens,AY339469,https://www.ncbi.nlm.nih.gov/nuccore/AY339469
TX151,Homo sapiens,non_target,Primates,Haplorrhini,Hominidae,Homo,sapiens,AY339522.2,https://www.ncbi.nlm.nih.gov/nuccore/AY339522.2
TX152,Homo sapiens,non_target,Primates,Haplorrhini,Hominidae,Homo,sapiens,AY339578.1,https://www.ncbi.nlm.nih.gov/nuccore/AY339578.1
TX006,Balaena mysticetus,target,Cetartiodactyla,Mysticeti,Balaenidae,Balaena,mysticetus,NC_005268.1,https://www.ncbi.nlm.nih.gov/nuccore/NC_005268.1
TX007,Eubalaena australis,target,Cetartiodactyla,Mysticeti,Balaenidae,Eubalaena,australis,NC_006930.1,https://www.ncbi.nlm.nih.gov/nuccore/NC_006930.1
