"","Sample_ID","Sample_Name2","Description","Sample_Project","Description2","Primer","sample_nc","rarefied","original_reads","original_n_taxa","original_coverage","rarefied_reads","rarefied_n_taxa","rarefied_pred_n_taxa","rarefied_coverage","correct_singletons","new_name"
"S001","NOV-001-S001","S001","Mu31F_Ch01-02","Cetacea_eDNA","Ch01-02","Mu31F_Dc320R","sample",TRUE,63137,61,0.999873293420793,11154,46,44.3982795499946,0.998999993107781,FALSE,"Lagoon_main"
"S002","NOV-001-S002","S002","Mu31F_Ch03","Cetacea_eDNA","Ch03","Mu31F_Dc320R","sample",TRUE,122321,52,0.999991825323517,7333,38,36.4279603438481,0.998999992853146,FALSE,"Lagoon_north"
"S003","NOV-001-S003","S003","Mu31F_Ch04","Cetacea_eDNA","Ch04","Mu31F_Dc320R","sample",TRUE,63521,44,0.99992128983921,10094,26,27.316782874067,0.998999963587222,FALSE,"Lagoon_south"
"S004","NOV-001-S004","S004","Mu31F_Ch05","Cetacea_eDNA","Ch05","Mu31F_Dc320R","sample",TRUE,76725,53,0.99984359998092,12638,25,29.4728314970778,0.998999996689545,FALSE,"Reproduction_pool"
"S005","NOV-001-S005","S005","Mu31F_Ch06-07","Cetacea_eDNA","Ch06-07","Mu31F_Dc320R","sample",TRUE,83059,67,0.99990368582319,15845,49,45.2272387510642,0.998999968587792,FALSE,"Main_pool"
"S006","NOV-001-S006","S006","Mu31F_Ch08","Cetacea_eDNA","Ch08","Mu31F_Dc320R","sample",TRUE,98223,62,0.999989819499734,10716,52,47.4103726431427,0.999000006296427,FALSE,"Show_pool"
"S007","NOV-001-S007","S007","Mu31F_Ch09","Cetacea_eDNA","Ch09","Mu31F_Dc320R","sample",TRUE,120475,75,0.999941897072446,10540,57,55.9954256336101,0.999000030783886,FALSE,"MedicalTrt_pool"
"S017","NOV-001-S017","S017","Dc671F_Ch01-02","Cetacea_eDNA","Ch01-02","Dc671F_Dc1015R","sample",TRUE,77531,47,0.999922612598682,7674,32,31.7047057459975,0.998999985313035,FALSE,"Lagoon_main"
"S018","NOV-001-S018","S018","Dc671F_Ch03","Cetacea_eDNA","Ch03","Dc671F_Dc1015R","sample",TRUE,106727,29,0.999962521550112,3599,20,18.9124244333889,0.999000032268075,FALSE,"Lagoon_north"
"S019","NOV-001-S019","S019","Dc671F_Ch04","Cetacea_eDNA","Ch04","Dc671F_Dc1015R","sample",TRUE,88643,57,0.999909752383124,11593,37,37.2137794156644,0.999000036990686,FALSE,"Lagoon_south"
