file                                        format  type  num_seqs     sum_len  min_len  avg_len  max_len   Q1   Q2   Q3  sum_gap  N50  Q20(%)  Q30(%)
S001_FKDL240081149-1A_H7H7NDRX5_L1_1.fq.gz  FASTQ   DNA     48,278  12,069,500      250      250      250  125  250  125        0  250   97.91   93.94
S001_FKDL240081149-1A_H7H7NDRX5_L1_2.fq.gz  FASTQ   DNA     48,278  12,069,500      250      250      250  125  250  125        0  250   97.97   93.92
S002_FKDL240081149-1A_H7H7NDRX5_L1_1.fq.gz  FASTQ   DNA     49,592  12,398,000      250      250      250  125  250  125        0  250   97.63   93.28
S002_FKDL240081149-1A_H7H7NDRX5_L1_2.fq.gz  FASTQ   DNA     49,592  12,398,000      250      250      250  125  250  125        0  250   97.62   93.07
S003_FKDL240081149-1A_H7H7NDRX5_L1_1.fq.gz  FASTQ   DNA     40,745  10,186,250      250      250      250  125  250  125        0  250   97.73   93.62
S003_FKDL240081149-1A_H7H7NDRX5_L1_2.fq.gz  FASTQ   DNA     40,745  10,186,250      250      250      250  125  250  125        0  250   97.87   93.92
S004_FKDL240081149-1A_H7H7NDRX5_L1_1.fq.gz  FASTQ   DNA     43,840  10,960,000      250      250      250  125  250  125        0  250   98.07   94.29
S004_FKDL240081149-1A_H7H7NDRX5_L1_2.fq.gz  FASTQ   DNA     43,840  10,960,000      250      250      250  125  250  125        0  250      98   93.99
S005_FKDL240081149-1A_H7H7NDRX5_L1_1.fq.gz  FASTQ   DNA     46,221  11,555,250      250      250      250  125  250  125        0  250    97.9   94.01
S005_FKDL240081149-1A_H7H7NDRX5_L1_2.fq.gz  FASTQ   DNA     46,221  11,555,250      250      250      250  125  250  125        0  250   97.85   93.71
S006_FKDL240081149-1A_H7H7NDRX5_L1_1.fq.gz  FASTQ   DNA     47,688  11,922,000      250      250      250  125  250  125        0  250   97.74    93.5
S006_FKDL240081149-1A_H7H7NDRX5_L1_2.fq.gz  FASTQ   DNA     47,688  11,922,000      250      250      250  125  250  125        0  250   97.71   93.27
S007_FKDL240081149-1A_H7H7NDRX5_L1_1.fq.gz  FASTQ   DNA     47,071  11,767,750      250      250      250  125  250  125        0  250   97.72   93.55
S007_FKDL240081149-1A_H7H7NDRX5_L1_2.fq.gz  FASTQ   DNA     47,071  11,767,750      250      250      250  125  250  125        0  250   97.74   93.57
S008_FKDL240081149-1A_H7H7NDRX5_L1_1.fq.gz  FASTQ   DNA        252      63,000      250      250      250  125  250  125        0  250    97.7   93.72
S008_FKDL240081149-1A_H7H7NDRX5_L1_2.fq.gz  FASTQ   DNA        252      63,000      250      250      250  125  250  125        0  250   97.57   93.01
S009_FKDL240081149-1A_H7H7NDRX5_L1_1.fq.gz  FASTQ   DNA          1         250      250      250      250  125  250  125        0  250     100    98.4
S009_FKDL240081149-1A_H7H7NDRX5_L1_2.fq.gz  FASTQ   DNA          1         250      250      250      250  125  250  125        0  250     100    97.2
S010_FKDL240081149-1A_H7H7NDRX5_L1_1.fq.gz  FASTQ   DNA          2         500      250      250      250  125  250  125        0  250     100    98.4
S010_FKDL240081149-1A_H7H7NDRX5_L1_2.fq.gz  FASTQ   DNA          2         500      250      250      250  125  250  125        0  250    99.6    97.6
S011_FKDL240081149-1A_H7H7NDRX5_L1_1.fq.gz  FASTQ   DNA          1         250      250      250      250  125  250  125        0  250     100    98.8
S011_FKDL240081149-1A_H7H7NDRX5_L1_2.fq.gz  FASTQ   DNA          1         250      250      250      250  125  250  125        0  250    99.6    98.4
S012_FKDL240081149-1A_H7H7NDRX5_L1_1.fq.gz  FASTQ   DNA          2         500      250      250      250  125  250  125        0  250      85    70.6
S012_FKDL240081149-1A_H7H7NDRX5_L1_2.fq.gz  FASTQ   DNA          2         500      250      250      250  125  250  125        0  250    94.2    82.8
S013_FKDL240081149-1A_H7H7NDRX5_L1_1.fq.gz  FASTQ   DNA          2         500      250      250      250  125  250  125        0  250    99.4    96.6
S013_FKDL240081149-1A_H7H7NDRX5_L1_2.fq.gz  FASTQ   DNA          2         500      250      250      250  125  250  125        0  250    99.4      96
S014_FKDL240081149-1A_H7H7NDRX5_L1_1.fq.gz  FASTQ   DNA        296      74,000      250      250      250  125  250  125        0  250    97.4   92.87
S014_FKDL240081149-1A_H7H7NDRX5_L1_2.fq.gz  FASTQ   DNA        296      74,000      250      250      250  125  250  125        0  250   97.74   93.24
S016_FKDL240081149-1A_H7H7NDRX5_L1_1.fq.gz  FASTQ   DNA          4       1,000      250      250      250  125  250  125        0  250    92.8    85.4
S016_FKDL240081149-1A_H7H7NDRX5_L1_2.fq.gz  FASTQ   DNA          4       1,000      250      250      250  125  250  125        0  250    87.3    80.7
