file                                        format  type  num_seqs     sum_len  min_len  avg_len  max_len   Q1   Q2   Q3  sum_gap  N50  Q20(%)  Q30(%)
S001_FKDL240081149-1A_H7TF5DRX5_L2_1.fq.gz  FASTQ   DNA     60,723  15,180,750      250      250      250  125  250  125        0  250   97.71   93.38
S002_FKDL240081149-1A_H7TF5DRX5_L2_1.fq.gz  FASTQ   DNA     66,459  16,614,750      250      250      250  125  250  125        0  250   97.43   92.74
S003_FKDL240081149-1A_H7TF5DRX5_L2_1.fq.gz  FASTQ   DNA     53,694  13,423,500      250      250      250  125  250  125        0  250    97.5   92.96
S004_FKDL240081149-1A_H7TF5DRX5_L2_1.fq.gz  FASTQ   DNA     55,019  13,754,750      250      250      250  125  250  125        0  250   97.75   93.49
S005_FKDL240081149-1A_H7TF5DRX5_L2_1.fq.gz  FASTQ   DNA     49,093  12,273,250      250      250      250  125  250  125        0  250   97.58   93.24
S006_FKDL240081149-1A_H7TF5DRX5_L2_1.fq.gz  FASTQ   DNA     63,605  15,901,250      250      250      250  125  250  125        0  250   97.51   92.95
S007_FKDL240081149-1A_H7TF5DRX5_L2_1.fq.gz  FASTQ   DNA     62,370  15,592,500      250      250      250  125  250  125        0  250    97.4   92.83
S008_FKDL240081149-1A_H7TF5DRX5_L2_1.fq.gz  FASTQ   DNA        328      82,000      250      250      250  125  250  125        0  250   97.88    93.5
S014_FKDL240081149-1A_H7TF5DRX5_L2_1.fq.gz  FASTQ   DNA        378      94,500      250      250      250  125  250  125        0  250   97.65   93.12
S016_FKDL240081149-1A_H7TF5DRX5_L2_1.fq.gz  FASTQ   DNA          5       1,250      250      250      250  125  250  125        0  250   96.72   93.04
