file                                                 format  type  num_seqs     sum_len  min_len  avg_len  max_len   Q1   Q2   Q3  sum_gap  N50  Q20(%)  Q30(%)
S001_FKDL240081149-1A_H7TF5DRX5_trimmed_R1.fastq.gz  FASTQ   DNA     60,428  13,776,071      147      228      230  228  228  228        0  228   97.64   93.18
S001_FKDL240081149-1A_H7TF5DRX5_trimmed_R2.fastq.gz  FASTQ   DNA     60,428  13,897,286      192      230      232  230  230  230        0  230   97.79   93.14
S002_FKDL240081149-1A_H7TF5DRX5_trimmed_R1.fastq.gz  FASTQ   DNA     66,136  15,077,631      153      228      230  228  228  228        0  228   97.36   92.48
S002_FKDL240081149-1A_H7TF5DRX5_trimmed_R2.fastq.gz  FASTQ   DNA     66,136  15,210,614      175      230      232  230  230  230        0  230    97.2   91.87
S003_FKDL240081149-1A_H7TF5DRX5_trimmed_R1.fastq.gz  FASTQ   DNA     53,403  12,174,885      135      228      230  228  228  228        0  228   97.45   92.76
S003_FKDL240081149-1A_H7TF5DRX5_trimmed_R2.fastq.gz  FASTQ   DNA     53,403  12,281,914      159      230      232  230  230  230        0  230   97.72   93.09
S004_FKDL240081149-1A_H7TF5DRX5_trimmed_R1.fastq.gz  FASTQ   DNA     54,758  12,483,904      139      228      230  228  228  228        0  228   97.69   93.28
S004_FKDL240081149-1A_H7TF5DRX5_trimmed_R2.fastq.gz  FASTQ   DNA     54,758  12,593,811      186      230      232  230  230  230        0  230   97.77   93.06
S005_FKDL240081149-1A_H7TF5DRX5_trimmed_R1.fastq.gz  FASTQ   DNA     48,833  11,132,851      126      228      230  228  228  228        0  228   97.53   93.04
S005_FKDL240081149-1A_H7TF5DRX5_trimmed_R2.fastq.gz  FASTQ   DNA     48,833  11,230,753       82      230      232  230  230  230        0  230   97.63   92.86
S006_FKDL240081149-1A_H7TF5DRX5_trimmed_R1.fastq.gz  FASTQ   DNA     63,293  14,422,875       95    227.9      230  228  228  228        0  228   97.44   92.71
S006_FKDL240081149-1A_H7TF5DRX5_trimmed_R2.fastq.gz  FASTQ   DNA     63,293  14,556,435      107      230      232  230  230  230        0  230   97.27   92.03
S007_FKDL240081149-1A_H7TF5DRX5_trimmed_R1.fastq.gz  FASTQ   DNA     62,059  14,148,745      160      228      230  228  228  228        0  228   97.33   92.61
S007_FKDL240081149-1A_H7TF5DRX5_trimmed_R2.fastq.gz  FASTQ   DNA     62,059  14,273,127      128      230      232  230  230  230        0  230   97.29   92.25
S008_FKDL240081149-1A_H7TF5DRX5_trimmed_R1.fastq.gz  FASTQ   DNA        328      74,778      227      228      229  228  228  228        0  228   97.77    93.2
S008_FKDL240081149-1A_H7TF5DRX5_trimmed_R2.fastq.gz  FASTQ   DNA        328      75,443      230      230      231  230  230  230        0  230   97.92   93.41
S014_FKDL240081149-1A_H7TF5DRX5_trimmed_R1.fastq.gz  FASTQ   DNA        375      85,502      227      228      229  228  228  228        0  228   97.67   93.07
S014_FKDL240081149-1A_H7TF5DRX5_trimmed_R2.fastq.gz  FASTQ   DNA        375      86,246      227      230      231  230  230  230        0  230   97.81   92.85
S016_FKDL240081149-1A_H7TF5DRX5_trimmed_R1.fastq.gz                       0           0        0        0        0    0    0    0        0    0       0       0
S016_FKDL240081149-1A_H7TF5DRX5_trimmed_R2.fastq.gz                       0           0        0        0        0    0    0    0        0    0       0       0
