"","ASV00001","ASV00002","ASV00003","ASV00004","ASV00005","ASV00006","ASV00007","ASV00008","ASV00009","ASV00010","ASV00011","ASV00012","ASV00013","ASV00014","ASV00015","ASV00016","ASV00017","ASV00018","ASV00019","ASV00020","ASV00021","ASV00022","ASV00023","ASV00024","ASV00025","ASV00026","ASV00027","ASV00028","ASV00029","ASV00030","ASV00031","ASV00032","ASV00033","ASV00034","ASV00035","ASV00036","ASV00037","ASV00038","ASV00039","ASV00040","ASV00041","ASV00042","ASV00043","ASV00044","ASV00045","ASV00046","ASV00047","ASV00048","ASV00049","ASV00050","ASV00051","ASV00052","ASV00053","ASV00054","ASV00055","ASV00056","ASV00057","ASV00058","ASV00059","ASV00060","ASV00061","ASV00062","ASV00063","ASV00064","ASV00065","ASV00066","ASV00067","ASV00068","ASV00069","ASV00070","ASV00071","ASV00072","ASV00073","ASV00074","ASV00075","ASV00076","ASV00077","ASV00078","ASV00079","ASV00080","ASV00081","ASV00082","ASV00083","ASV00084","ASV00085","ASV00086","ASV00087","ASV00088","ASV00089","ASV00090","ASV00091","ASV00092","ASV00093","ASV00094","ASV00095","ASV00096","ASV00097","ASV00098","ASV00099","ASV00100","ASV00101","ASV00102","ASV00103","ASV00104","ASV00105","ASV00106","ASV00107","ASV00108","ASV00109","ASV00110","ASV00111","ASV00112","ASV00113","ASV00114","ASV00115","ASV00116","ASV00117","ASV00118","ASV00119","ASV00120","ASV00121","ASV00122","ASV00123","ASV00124","ASV00125","ASV00126","ASV00127","ASV00128","ASV00129","ASV00130","ASV00131","ASV00132","ASV00133","ASV00134","ASV00135","ASV00136","ASV00137","ASV00138","ASV00139","ASV00140","ASV00141","ASV00142","ASV00143","ASV00144","ASV00145"
"S001",477,35505,0,14178,8788,51,1914,0,0,141,126,258,67,36,648,27,0,108,0,68,218,6,44,0,65,0,1,4,10,20,0,0,24,0,72,0,0,20,0,0,38,0,0,0,2,0,13,0,0,0,0,13,0,23,0,0,0,0,0,3,0,0,0,2,0,0,0,10,1,0,5,0,0,0,6,0,0,31,11,5,13,4,0,0,14,0,0,0,0,0,0,0,8,0,12,5,1,3,0,3,0,0,0,0,0,0,7,6,4,1,0,1,4,0,2,1,1,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"S002",113015,810,0,760,448,7,73,0,0,1615,838,402,640,332,80,502,0,403,0,246,0,291,252,0,302,203,184,129,98,20,69,0,170,85,9,0,0,17,0,0,69,0,0,0,26,0,14,0,0,0,11,0,0,3,0,0,28,26,0,0,40,0,0,0,10,0,0,3,0,0,22,0,0,0,0,0,0,0,0,5,0,14,0,0,0,0,0,0,0,0,2,0,0,0,0,10,2,2,0,0,0,0,0,0,0,0,0,0,0,3,0,6,2,0,0,0,0,0,0,0,6,1,0,10,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S003",19,6907,0,43759,11541,4,840,0,0,11,14,7,0,2,7,3,0,17,0,2,95,0,0,0,18,0,0,3,0,13,0,0,0,0,87,0,0,43,0,0,10,0,0,0,0,0,5,0,0,0,0,15,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,14,0,0,1,0,0,0,7,0,0,2,11,3,19,1,0,0,13,0,0,0,0,0,0,0,3,0,5,0,1,2,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S004",1,68219,0,3,14,6551,1539,0,0,1,0,9,2,2,0,0,0,0,0,3,2,0,4,0,0,22,0,14,30,16,0,0,0,0,5,0,0,70,0,0,0,0,0,0,8,0,0,0,0,0,0,33,0,39,0,0,0,0,0,12,0,0,0,0,0,0,0,6,2,0,3,0,0,0,18,0,1,0,0,1,3,2,0,0,1,0,0,0,0,0,4,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,4,8,3,0,0,1,0,10,2,6,5,0,1,11,0,1,1,0,8,10,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,1,0
"S005",700,77041,10,20,2426,8,1190,2,0,41,20,574,161,80,0,11,0,0,0,139,155,0,142,0,15,13,1,6,6,23,0,0,21,2,4,0,0,24,0,0,0,0,0,0,0,0,3,0,0,0,0,35,0,27,0,0,0,2,0,13,0,0,0,0,0,0,0,7,7,0,5,0,0,0,6,0,5,3,7,1,0,0,0,0,2,0,0,0,0,0,1,0,7,0,4,1,0,1,0,10,0,0,0,4,0,0,5,2,8,0,0,2,1,2,4,5,6,0,8,0,0,0,1,0,0,0,0,0,0,9,0,7,0,3,1,0,3,2,0,2,0,2,0,0,0
"S006",86923,28,0,153,10,0,6,3871,3178,811,371,7,57,362,0,174,0,94,0,49,0,150,4,0,36,188,146,148,149,130,170,0,6,123,9,0,170,0,0,0,22,0,0,0,81,0,71,0,0,0,88,0,0,1,0,0,64,60,18,11,31,0,0,0,45,0,0,10,40,0,6,0,0,0,0,0,0,0,7,20,0,13,6,0,2,0,0,0,0,0,14,0,0,0,2,6,17,13,0,0,0,0,0,0,0,0,0,0,0,7,0,3,6,0,4,0,0,0,0,0,5,9,0,0,0,0,4,8,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0
"S007",208,72,115997,16,37,0,4,89,0,2,1,0,0,1,0,0,0,0,610,0,0,0,0,442,0,0,1,0,6,73,0,239,0,2,0,176,2,0,162,140,0,135,126,118,0,116,4,103,101,100,0,0,96,0,92,92,0,0,70,37,0,71,66,66,3,58,54,3,0,45,0,41,39,39,0,37,30,0,0,0,0,0,26,32,0,31,31,30,29,28,6,27,0,24,0,0,1,0,21,3,20,19,19,15,18,17,0,0,1,0,14,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,9,0,8,0,6,0,1,4,0,0,0,0,0,0,0,0,0
"S008",137,185,233,1,8,20,1,10,4,0,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"S014",0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
