"","OTU00001","OTU00002","OTU00003","OTU00004","OTU00005","OTU00006","OTU00007","OTU00008","OTU00009","OTU00010","OTU00011","OTU00012","OTU00013","OTU00014","OTU00015","OTU00016","OTU00017","OTU00018","OTU00019","OTU00020","OTU00021","OTU00022","OTU00023","OTU00024","OTU00025","OTU00026"
"S001",24810,35514,0,2195,0,288,0,218,22,32,1,6,20,0,3,10,8,5,0,1,4,0,0,0,0,0
"S002",118144,810,0,478,0,2559,0,0,129,63,0,28,14,0,36,32,7,17,2,2,0,0,0,0,0,0
"S003",55587,6910,0,849,0,15,0,96,17,28,0,0,5,0,2,1,5,5,0,1,0,0,0,0,0,0
"S004",6762,68233,0,1587,0,25,0,13,40,24,0,8,4,1,12,3,1,2,4,0,3,0,3,0,0,0
"S005",3549,77058,12,1791,2,368,0,159,25,34,0,8,8,4,15,6,2,0,1,0,8,0,5,1,3,0
"S006",89317,28,0,14,3871,4308,0,0,156,175,0,87,89,0,71,12,33,20,14,17,0,8,0,3,0,0
"S007",444,102,118230,4,89,19,0,0,26,622,508,0,74,269,78,0,0,0,6,1,1,1,0,1,0,0
"S008",174,185,233,2,10,6,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"S014",0,0,46,0,0,0,710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
