file                                             format  type  num_seqs    sum_len  min_len  avg_len  max_len   Q1   Q2   Q3  sum_gap  N50  Q20(%)  Q30(%)
S017_FKDL240081149-1A_H7H7NDRX5_flt_R1.fastq.gz  FASTQ   DNA     37,056  9,263,974      224      250      250  250  250  250        0  250   97.71   93.21
S017_FKDL240081149-1A_H7H7NDRX5_flt_R2.fastq.gz  FASTQ   DNA     37,056  9,263,964      236      250      250  250  250  250        0  250   97.69   92.97
S018_FKDL240081149-1A_H7H7NDRX5_flt_R1.fastq.gz  FASTQ   DNA     39,698  9,924,487      237      250      250  250  250  250        0  250   97.73   93.32
S018_FKDL240081149-1A_H7H7NDRX5_flt_R2.fastq.gz  FASTQ   DNA     39,698  9,924,396      199      250      250  250  250  250        0  250    97.6   92.75
S019_FKDL240081149-1A_H7H7NDRX5_flt_R1.fastq.gz  FASTQ   DNA     39,988  9,996,982      240      250      250  250  250  250        0  250   97.72   93.32
S019_FKDL240081149-1A_H7H7NDRX5_flt_R2.fastq.gz  FASTQ   DNA     39,988  9,996,945      223      250      250  250  250  250        0  250   97.49   92.64
S020_FKDL240081149-1A_H7H7NDRX5_flt_R1.fastq.gz  FASTQ   DNA     34,825  8,706,241      241      250      250  250  250  250        0  250    97.8   93.28
S020_FKDL240081149-1A_H7H7NDRX5_flt_R2.fastq.gz  FASTQ   DNA     34,825  8,706,250      250      250      250  125  250  125        0  250   97.81   93.14
S021_FKDL240081149-1A_H7H7NDRX5_flt_R1.fastq.gz  FASTQ   DNA     36,826  9,206,500      250      250      250  125  250  125        0  250   97.71   93.18
S021_FKDL240081149-1A_H7H7NDRX5_flt_R2.fastq.gz  FASTQ   DNA     36,826  9,206,418      182      250      250  250  250  250        0  250   97.65   92.83
S022_FKDL240081149-1A_H7H7NDRX5_flt_R1.fastq.gz  FASTQ   DNA     39,514  9,878,500      250      250      250  125  250  125        0  250   97.74   93.29
S022_FKDL240081149-1A_H7H7NDRX5_flt_R2.fastq.gz  FASTQ   DNA     39,514  9,878,468      239      250      250  250  250  250        0  250    97.7   93.07
S023_FKDL240081149-1A_H7H7NDRX5_flt_R1.fastq.gz  FASTQ   DNA     38,603  9,650,750      250      250      250  125  250  125        0  250   97.63   93.04
S023_FKDL240081149-1A_H7H7NDRX5_flt_R2.fastq.gz  FASTQ   DNA     38,603  9,650,722      235      250      250  250  250  250        0  250   97.65   92.79
S024_FKDL240081149-1A_H7H7NDRX5_flt_R1.fastq.gz  FASTQ   DNA        103     25,750      250      250      250  125  250  125        0  250    98.8   95.08
S024_FKDL240081149-1A_H7H7NDRX5_flt_R2.fastq.gz  FASTQ   DNA        103     25,750      250      250      250  125  250  125        0  250   98.57   95.09
S025_FKDL240081149-1A_H7H7NDRX5_flt_R1.fastq.gz  FASTQ   DNA          2        500      250      250      250  125  250  125        0  250    99.2    96.2
S025_FKDL240081149-1A_H7H7NDRX5_flt_R2.fastq.gz  FASTQ   DNA          2        500      250      250      250  125  250  125        0  250    98.6    97.2
S026_FKDL240081149-1A_H7H7NDRX5_flt_R1.fastq.gz  FASTQ   DNA          2        500      250      250      250  125  250  125        0  250    98.4    95.4
S026_FKDL240081149-1A_H7H7NDRX5_flt_R2.fastq.gz  FASTQ   DNA          2        500      250      250      250  125  250  125        0  250    99.6    96.2
S027_FKDL240081149-1A_H7H7NDRX5_flt_R1.fastq.gz  FASTQ   DNA          1        250      250      250      250  125  250  125        0  250    98.8    94.8
S027_FKDL240081149-1A_H7H7NDRX5_flt_R2.fastq.gz  FASTQ   DNA          1        250      250      250      250  125  250  125        0  250    98.8    95.2
S028_FKDL240081149-1A_H7H7NDRX5_flt_R1.fastq.gz  FASTQ   DNA          4      1,000      250      250      250  125  250  125        0  250    98.3    93.2
S028_FKDL240081149-1A_H7H7NDRX5_flt_R2.fastq.gz  FASTQ   DNA          4      1,000      250      250      250  125  250  125        0  250    97.9      95
S030_FKDL240081149-1A_H7H7NDRX5_flt_R1.fastq.gz  FASTQ   DNA      3,713    928,250      250      250      250  125  250  125        0  250    97.9   93.67
S030_FKDL240081149-1A_H7H7NDRX5_flt_R2.fastq.gz  FASTQ   DNA      3,713    928,162      162      250      250  250  250  250        0  250   97.98   93.79
