file                                                 format  type  num_seqs    sum_len  min_len  avg_len  max_len   Q1   Q2   Q3  sum_gap  N50  Q20(%)  Q30(%)
S017_FKDL240081149-1A_H7H7NDRX5_trimmed_R1.fastq.gz  FASTQ   DNA     36,973  8,503,740      204      230      232  230  230  230        0  230   97.65   92.98
S018_FKDL240081149-1A_H7H7NDRX5_trimmed_R1.fastq.gz  FASTQ   DNA     39,605  9,109,222      217      230      232  230  230  230        0  230   97.68   93.11
S019_FKDL240081149-1A_H7H7NDRX5_trimmed_R1.fastq.gz  FASTQ   DNA     39,886  9,173,823      217      230      232  230  230  230        0  230   97.67   93.12
S020_FKDL240081149-1A_H7H7NDRX5_trimmed_R1.fastq.gz  FASTQ   DNA     34,747  7,991,827      221      230      232  230  230  230        0  230   97.75   93.05
S021_FKDL240081149-1A_H7H7NDRX5_trimmed_R1.fastq.gz  FASTQ   DNA     36,531  8,402,120      228      230      232  230  230  230        0  230   97.66   92.97
S022_FKDL240081149-1A_H7H7NDRX5_trimmed_R1.fastq.gz  FASTQ   DNA     39,420  9,066,667      228      230      232  230  230  230        0  230   97.69   93.09
S023_FKDL240081149-1A_H7H7NDRX5_trimmed_R1.fastq.gz  FASTQ   DNA     38,507  8,856,643      228      230      232  230  230  230        0  230   97.57   92.81
S024_FKDL240081149-1A_H7H7NDRX5_trimmed_R1.fastq.gz  FASTQ   DNA        103     23,690      230      230      230  115  230  115        0  230   98.75   94.91
S025_FKDL240081149-1A_H7H7NDRX5_trimmed_R1.fastq.gz  FASTQ   DNA          1        230      230      230      230  115  230  115        0  230   98.26   93.04
S026_FKDL240081149-1A_H7H7NDRX5_trimmed_R1.fastq.gz  FASTQ   DNA          2        460      230      230      230  115  230  115        0  230   98.48   95.22
S027_FKDL240081149-1A_H7H7NDRX5_trimmed_R1.fastq.gz  FASTQ   DNA          1        230      230      230      230  115  230  115        0  230    98.7   94.35
S028_FKDL240081149-1A_H7H7NDRX5_trimmed_R1.fastq.gz  FASTQ   DNA          4        920      230      230      230  115  230  115        0  230   98.26   92.83
S030_FKDL240081149-1A_H7H7NDRX5_trimmed_R1.fastq.gz  FASTQ   DNA      3,700    851,003      228      230      231  230  230  230        0  230   97.85   93.48
