file                                             format  type  num_seqs     sum_len  min_len  avg_len  max_len   Q1   Q2   Q3  sum_gap  N50  Q20(%)  Q30(%)
S017_FKDL240081149-1A_H7TF5DRX5_flt_R1.fastq.gz  FASTQ   DNA     47,821  11,955,149      232      250      250  250  250  250        0  250   97.32   92.32
S017_FKDL240081149-1A_H7TF5DRX5_flt_R2.fastq.gz  FASTQ   DNA     47,821  11,955,173      204      250      250  250  250  250        0  250   97.18   91.86
S018_FKDL240081149-1A_H7TF5DRX5_flt_R1.fastq.gz  FASTQ   DNA     54,709  13,676,992      196      250      250  250  250  250        0  250   97.28   92.33
S018_FKDL240081149-1A_H7TF5DRX5_flt_R2.fastq.gz  FASTQ   DNA     54,709  13,677,023      175      250      250  250  250  250        0  250   97.07   91.62
S019_FKDL240081149-1A_H7TF5DRX5_flt_R1.fastq.gz  FASTQ   DNA     53,914  13,478,284      208      250      250  250  250  250        0  250   97.33   92.45
S019_FKDL240081149-1A_H7TF5DRX5_flt_R2.fastq.gz  FASTQ   DNA     53,914  13,478,280      176      250      250  250  250  250        0  250   97.05   91.65
S020_FKDL240081149-1A_H7TF5DRX5_flt_R1.fastq.gz  FASTQ   DNA     45,216  11,303,873      205      250      250  250  250  250        0  250   97.32   92.26
S020_FKDL240081149-1A_H7TF5DRX5_flt_R2.fastq.gz  FASTQ   DNA     45,216  11,303,882      181      250      250  250  250  250        0  250   97.24   91.93
S021_FKDL240081149-1A_H7TF5DRX5_flt_R1.fastq.gz  FASTQ   DNA     47,320  11,829,821      204      250      250  250  250  250        0  250   97.24   92.12
S021_FKDL240081149-1A_H7TF5DRX5_flt_R2.fastq.gz  FASTQ   DNA     47,320  11,829,804      196      250      250  250  250  250        0  250   97.05   91.55
S022_FKDL240081149-1A_H7TF5DRX5_flt_R1.fastq.gz  FASTQ   DNA     52,311  13,077,511      198      250      250  250  250  250        0  250   97.33   92.38
S022_FKDL240081149-1A_H7TF5DRX5_flt_R2.fastq.gz  FASTQ   DNA     52,311  13,077,674      228      250      250  250  250  250        0  250   97.16   91.91
S023_FKDL240081149-1A_H7TF5DRX5_flt_R1.fastq.gz  FASTQ   DNA     51,226  12,806,361      196      250      250  250  250  250        0  250   97.13   91.94
S023_FKDL240081149-1A_H7TF5DRX5_flt_R2.fastq.gz  FASTQ   DNA     51,226  12,806,380      201      250      250  250  250  250        0  250   97.09   91.61
S024_FKDL240081149-1A_H7TF5DRX5_flt_R1.fastq.gz  FASTQ   DNA        145      36,250      250      250      250  125  250  125        0  250   96.41   90.67
S024_FKDL240081149-1A_H7TF5DRX5_flt_R2.fastq.gz  FASTQ   DNA        145      36,250      250      250      250  125  250  125        0  250   96.64   90.47
S030_FKDL240081149-1A_H7TF5DRX5_flt_R1.fastq.gz  FASTQ   DNA      5,086   1,271,500      250      250      250  125  250  125        0  250   97.49   92.64
S030_FKDL240081149-1A_H7TF5DRX5_flt_R2.fastq.gz  FASTQ   DNA      5,086   1,271,473      223      250      250  250  250  250        0  250   97.51   92.64
S031_FKDL240081149-1A_H7TF5DRX5_flt_R1.fastq.gz  FASTQ   DNA          1         250      250      250      250  125  250  125        0  250    98.8      96
S031_FKDL240081149-1A_H7TF5DRX5_flt_R2.fastq.gz  FASTQ   DNA          1         250      250      250      250  125  250  125        0  250    99.2    94.8
