file                                                 format  type  num_seqs     sum_len  min_len  avg_len  max_len   Q1   Q2   Q3  sum_gap  N50  Q20(%)  Q30(%)
S017_FKDL240081149-1A_H7TF5DRX5_trimmed_R1.fastq.gz  FASTQ   DNA     47,724  10,976,468      209      230      232  230  230  230        0  230   97.22   91.98
S017_FKDL240081149-1A_H7TF5DRX5_trimmed_R2.fastq.gz  FASTQ   DNA     47,724  10,881,196      179      228      230  228  228  228        0  228   97.05   91.46
S018_FKDL240081149-1A_H7TF5DRX5_trimmed_R1.fastq.gz  FASTQ   DNA     54,567  12,550,165      173      230      232  230  230  230        0  230   97.18   92.01
S018_FKDL240081149-1A_H7TF5DRX5_trimmed_R2.fastq.gz  FASTQ   DNA     54,567  12,441,236      150      228      230  228  228  228        0  228   96.95   91.24
S019_FKDL240081149-1A_H7TF5DRX5_trimmed_R1.fastq.gz  FASTQ   DNA     53,777  12,368,532      188      230      232  230  230  230        0  230   97.24   92.14
S019_FKDL240081149-1A_H7TF5DRX5_trimmed_R2.fastq.gz  FASTQ   DNA     53,777  12,261,165      154      228      230  228  228  228        0  228   96.93   91.27
S020_FKDL240081149-1A_H7TF5DRX5_trimmed_R1.fastq.gz  FASTQ   DNA     45,115  10,376,320      185      230      232  230  230  230        0  230   97.22   91.92
S020_FKDL240081149-1A_H7TF5DRX5_trimmed_R2.fastq.gz  FASTQ   DNA     45,115  10,286,234      156      228      230  228  228  228        0  228   97.12   91.53
S021_FKDL240081149-1A_H7TF5DRX5_trimmed_R1.fastq.gz  FASTQ   DNA     46,936  10,795,136      180      230      232  230  230  230        0  230   97.15    91.8
S021_FKDL240081149-1A_H7TF5DRX5_trimmed_R2.fastq.gz  FASTQ   DNA     46,936  10,701,391      174      228      230  228  228  228        0  228   96.93   91.15
S022_FKDL240081149-1A_H7TF5DRX5_trimmed_R1.fastq.gz  FASTQ   DNA     52,193  12,004,167      178      230      232  230  230  230        0  230   97.22   92.06
S022_FKDL240081149-1A_H7TF5DRX5_trimmed_R2.fastq.gz  FASTQ   DNA     52,193  11,900,099      203      228      230  228  228  228        0  228   97.03   91.53
S023_FKDL240081149-1A_H7TF5DRX5_trimmed_R1.fastq.gz  FASTQ   DNA     51,112  11,755,696      176      230      232  230  230  230        0  230   97.02    91.6
S023_FKDL240081149-1A_H7TF5DRX5_trimmed_R2.fastq.gz  FASTQ   DNA     51,112  11,653,588      176      228      230  228  228  228        0  228   96.95   91.17
S024_FKDL240081149-1A_H7TF5DRX5_trimmed_R1.fastq.gz  FASTQ   DNA        145      33,350      230      230      230  115  230  115        0  230   96.24   90.21
S024_FKDL240081149-1A_H7TF5DRX5_trimmed_R2.fastq.gz  FASTQ   DNA        145      33,062      228      228      229  228  228  228        0  228   96.46      90
S030_FKDL240081149-1A_H7TF5DRX5_trimmed_R1.fastq.gz  FASTQ   DNA      5,074   1,167,025      228      230      232  230  230  230        0  230    97.4   92.34
S030_FKDL240081149-1A_H7TF5DRX5_trimmed_R2.fastq.gz  FASTQ   DNA      5,074   1,156,876      198      228      230  228  228  228        0  228   97.38   92.26
S031_FKDL240081149-1A_H7TF5DRX5_trimmed_R1.fastq.gz  FASTQ   DNA          1         230      230      230      230  115  230  115        0  230    98.7   95.65
S031_FKDL240081149-1A_H7TF5DRX5_trimmed_R2.fastq.gz  FASTQ   DNA          1         228      228      228      228  114  228  114        0  228   99.12    94.3
