"","input","filtered","denoised","merged","tabled","tabled2","nonchim","prop.last.first."
"S017",104850,98279,98231,97723,97723,97723,77531,0.739446828803052
"S018",116208,108788,108700,108454,108454,108454,106727,0.918413534352196
"S019",115520,108005,107913,107255,107255,107255,88643,0.767338988919668
"S020",99986,93928,93897,93376,93376,93376,77508,0.775188526393695
"S021",103484,96880,96855,96270,96270,96270,82566,0.797862471493178
"S022",113091,106040,105853,104649,104649,104649,80804,0.714504248790797
"S023",111103,103938,103921,103626,103626,103626,100330,0.903035921622278
"S024",302,284,284,283,283,283,272,0.900662251655629
"S025",1,1,1,1,1,1,1,1
"S026",2,2,2,2,2,2,2,1
"S027",1,1,1,1,1,1,1,1
"S028",4,4,4,4,4,4,4,1
"S030",10817,10222,10222,10222,10222,10222,10222,0.944993990940187
"S031",1,1,1,1,1,1,1,1
