"","OTU00001","OTU00002","OTU00003","OTU00004","OTU00005","OTU00006","OTU00007","OTU00008","OTU00009","OTU00010","OTU00011","OTU00012","OTU00013","OTU00014","OTU00015","OTU00016","OTU00017","OTU00018","OTU00019","OTU00020","OTU00021"
"S017",36635,39881,1,152,0,24,76,180,225,55,17,135,127,21,0,1,0,0,1,0,0
"S018",828,103717,0,4,0,993,260,102,36,315,255,9,207,0,1,0,0,0,0,0,0
"S019",10507,77552,0,45,0,55,73,130,42,47,70,42,62,0,1,1,4,5,1,6,0
"S020",66979,9825,1,153,0,23,27,112,135,64,64,110,6,5,1,2,0,0,0,1,0
"S021",71272,9500,700,324,0,71,143,95,119,124,48,78,50,30,2,6,0,2,0,0,2
"S022",468,57191,7,20442,0,418,377,462,315,455,248,141,262,0,6,0,5,7,0,0,0
"S023",173,669,95841,1804,0,50,576,692,4,214,0,307,0,0,0,0,0,0,0,0,0
"S024",113,65,59,30,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"S025",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S026",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S027",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S028",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S030",0,0,0,0,10222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S031",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
