"","ASV00001","ASV00002","ASV00003","ASV00004","ASV00005","ASV00006","ASV00007","ASV00008","ASV00009","ASV00010","ASV00011","ASV00012","ASV00013","ASV00014","ASV00015","ASV00016","ASV00017","ASV00018","ASV00019","ASV00020","ASV00021","ASV00022","ASV00023","ASV00024","ASV00025","ASV00026","ASV00027","ASV00028","ASV00029","ASV00030","ASV00031","ASV00032","ASV00033","ASV00034","ASV00035","ASV00036","ASV00037","ASV00038","ASV00039","ASV00040","ASV00041","ASV00042","ASV00043","ASV00044","ASV00045","ASV00046","ASV00047","ASV00048","ASV00049","ASV00050","ASV00051","ASV00052","ASV00053","ASV00054","ASV00055","ASV00056","ASV00057","ASV00058","ASV00059","ASV00060","ASV00061","ASV00062","ASV00063","ASV00064","ASV00065","ASV00066","ASV00067","ASV00068","ASV00069","ASV00070","ASV00071","ASV00072","ASV00073","ASV00074","ASV00075","ASV00076","ASV00077","ASV00078","ASV00079","ASV00080","ASV00081","ASV00082","ASV00083","ASV00084","ASV00085","ASV00086","ASV00087","ASV00088","ASV00089","ASV00090","ASV00091","ASV00092","ASV00093","ASV00094","ASV00095","ASV00096","ASV00097","ASV00098","ASV00099","ASV00100","ASV00101","ASV00102","ASV00103","ASV00104","ASV00105","ASV00106","ASV00107"
"S017",36401,14735,0,23419,1482,0,0,1,0,233,2,17,24,0,0,0,218,0,0,15,0,0,0,0,0,0,0,0,0,6,104,0,45,31,121,0,45,0,104,73,0,3,0,7,90,0,0,0,53,6,4,45,0,0,9,44,2,1,24,0,2,0,31,0,21,0,0,0,0,0,23,0,5,15,25,0,11,0,7,16,0,0,0,0,1,0,0,0,0,0,0,4,0,0,3,0,1,0,0,0,0,0,0,1,1,0,0
"S018",803,98506,0,3448,1429,0,0,1,808,25,0,185,58,0,102,0,0,0,199,255,0,36,0,0,87,0,0,0,241,205,0,0,0,28,2,0,0,0,0,0,0,138,9,25,0,0,0,0,0,84,29,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S019",10461,218,0,64128,13019,0,0,1,0,10,27,28,12,0,1,0,38,0,0,49,0,2,0,0,0,0,0,0,10,0,7,0,20,1,62,0,89,0,52,13,0,0,0,38,22,0,10,22,0,0,2,12,0,0,8,58,25,9,10,0,15,1,33,0,0,0,6,4,0,10,9,0,15,14,2,0,2,13,13,0,18,0,3,1,1,4,0,1,5,0,0,0,0,0,0,0,1,2,0,2,2,2,0,0,0,0,0
"S020",66712,105,1,5,9649,1,0,1,0,15,10,11,28,0,10,0,135,0,7,0,0,0,0,0,0,0,0,0,9,6,69,0,85,0,0,0,33,6,0,44,0,0,11,8,14,0,112,92,0,0,9,29,0,0,41,0,46,0,35,0,13,7,0,0,5,0,45,48,0,24,2,0,6,0,0,0,5,5,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1
"S021",71184,3530,682,698,5200,180,0,19,7,86,28,58,33,5,23,8,111,7,66,6,1,8,1,31,7,2,0,3,0,42,68,0,58,11,8,0,2,1,0,25,2,1,14,4,1,0,0,2,63,1,10,23,0,0,41,0,28,2,29,0,35,4,0,0,30,0,1,0,0,12,9,3,13,0,0,3,7,2,0,1,0,3,1,2,6,0,2,2,0,5,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0
"S022",21,56365,6,125,18,18515,0,1871,28,447,47,386,475,0,455,0,5,1,154,86,0,306,0,286,222,0,0,0,36,26,7,236,0,134,0,0,0,150,0,0,0,5,99,48,0,0,0,0,0,21,58,0,0,0,0,0,0,21,0,0,12,4,0,0,0,56,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,5,3,6,0,5,4,0,0,0,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"S023",167,526,93945,73,47,743,0,2,0,6,575,0,0,622,0,530,4,484,1,0,372,0,320,0,0,307,308,295,0,0,0,0,0,0,0,171,0,0,0,0,146,0,0,0,0,125,0,0,0,0,0,0,111,106,4,0,0,67,0,90,0,50,0,57,0,0,0,0,52,0,0,0,0,0,0,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S024",112,55,58,2,8,25,0,2,0,1,0,1,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S025",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S026",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S027",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
