"","ASV00001","ASV00002","ASV00003","ASV00004","ASV00005","ASV00006","ASV00007","ASV00008","ASV00009","ASV00010","ASV00011","ASV00013","ASV00014","ASV00015","ASV00018"
"S017",0.471462079749805,0.191686213187386,0,0.299192077143602,0.0194162105811832,0,0,0,0,0,0,0,0,0,0
"S018",0.0072242289524868,0.923589886079467,0,0.0319533203667685,0.0147263128646846,0,0,0,0.00750208391219783,0,0,0,0,0,0
"S019",0.118778573276977,0,0,0.723712585180712,0.146467696023462,0,0,0,0,0,0,0,0,0,0
"S020",0.859741398202937,0,0,0,0.125465702388779,0,0,0,0,0,0,0,0,0,0
"S021",0.862155009451796,0.0420415879017013,0.00816635160680529,0.00831758034026465,0.0642722117202268,0,0,0,0,0,0,0,0,0,0
"S022",0,0.695845933471272,0,0,0,0.230144835269776,0,0.023396466656056,0,0.00557058729906096,0,0.00572974693617699,0,0.00572974693617699,0
"S023",0,0.00534255185417976,0.936832181018228,0,0,0.00722815839094909,0,0,0,0,0.00565681961030798,0,0.00628535512256443,0,0.00502828409805154
"S025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S026",0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0
"S030",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
