file                                        format  type  num_seqs    sum_len  min_len  avg_len  max_len   Q1   Q2   Q3  sum_gap  N50  Q20(%)  Q30(%)
S033_FKDL240081149-1A_H7H7NDRX5_L1_1.fq.gz  FASTQ   DNA     26,784  6,696,000      250      250      250  125  250  125        0  250   97.49   92.71
S033_FKDL240081149-1A_H7H7NDRX5_L1_2.fq.gz  FASTQ   DNA     26,784  6,696,000      250      250      250  125  250  125        0  250    97.1   91.74
S034_FKDL240081149-1A_H7H7NDRX5_L1_1.fq.gz  FASTQ   DNA     27,172  6,793,000      250      250      250  125  250  125        0  250   97.37   92.47
S034_FKDL240081149-1A_H7H7NDRX5_L1_2.fq.gz  FASTQ   DNA     27,172  6,793,000      250      250      250  125  250  125        0  250   96.98   91.63
S035_FKDL240081149-1A_H7H7NDRX5_L1_1.fq.gz  FASTQ   DNA     27,731  6,932,750      250      250      250  125  250  125        0  250   97.38   92.61
S035_FKDL240081149-1A_H7H7NDRX5_L1_2.fq.gz  FASTQ   DNA     27,731  6,932,750      250      250      250  125  250  125        0  250   97.02   91.74
S036_FKDL240081149-1A_H7H7NDRX5_L1_1.fq.gz  FASTQ   DNA     25,360  6,340,000      250      250      250  125  250  125        0  250   97.63   92.94
S036_FKDL240081149-1A_H7H7NDRX5_L1_2.fq.gz  FASTQ   DNA     25,360  6,340,000      250      250      250  125  250  125        0  250   97.31   92.16
S037_FKDL240081149-1A_H7H7NDRX5_L1_1.fq.gz  FASTQ   DNA     26,951  6,737,750      250      250      250  125  250  125        0  250   97.52   92.81
S037_FKDL240081149-1A_H7H7NDRX5_L1_2.fq.gz  FASTQ   DNA     26,951  6,737,750      250      250      250  125  250  125        0  250    97.1   91.74
S038_FKDL240081149-1A_H7H7NDRX5_L1_1.fq.gz  FASTQ   DNA     25,753  6,438,250      250      250      250  125  250  125        0  250   97.46   92.62
S038_FKDL240081149-1A_H7H7NDRX5_L1_2.fq.gz  FASTQ   DNA     25,753  6,438,250      250      250      250  125  250  125        0  250   97.07   91.78
S039_FKDL240081149-1A_H7H7NDRX5_L1_1.fq.gz  FASTQ   DNA     26,696  6,674,000      250      250      250  125  250  125        0  250   97.54   92.93
S039_FKDL240081149-1A_H7H7NDRX5_L1_2.fq.gz  FASTQ   DNA     26,696  6,674,000      250      250      250  125  250  125        0  250   97.22   92.12
S040_FKDL240081149-1A_H7H7NDRX5_L1_1.fq.gz  FASTQ   DNA        169     42,250      250      250      250  125  250  125        0  250   97.05   91.74
S040_FKDL240081149-1A_H7H7NDRX5_L1_2.fq.gz  FASTQ   DNA        169     42,250      250      250      250  125  250  125        0  250   96.87   91.18
S041_FKDL240081149-1A_H7H7NDRX5_L1_1.fq.gz  FASTQ   DNA         34      8,500      250      250      250  125  250  125        0  250   97.36   92.39
S041_FKDL240081149-1A_H7H7NDRX5_L1_2.fq.gz  FASTQ   DNA         34      8,500      250      250      250  125  250  125        0  250   96.14   90.27
S042_FKDL240081149-1A_H7H7NDRX5_L1_1.fq.gz  FASTQ   DNA     39,600  9,900,000      250      250      250  125  250  125        0  250   97.33   92.47
S042_FKDL240081149-1A_H7H7NDRX5_L1_2.fq.gz  FASTQ   DNA     39,600  9,900,000      250      250      250  125  250  125        0  250   96.74   91.08
S043_FKDL240081149-1A_H7H7NDRX5_L1_1.fq.gz  FASTQ   DNA        101     25,250      250      250      250  125  250  125        0  250    97.5   92.71
S043_FKDL240081149-1A_H7H7NDRX5_L1_2.fq.gz  FASTQ   DNA        101     25,250      250      250      250  125  250  125        0  250   97.48   92.21
S044_FKDL240081149-1A_H7H7NDRX5_L1_1.fq.gz  FASTQ   DNA         20      5,000      250      250      250  125  250  125        0  250      94   87.46
S044_FKDL240081149-1A_H7H7NDRX5_L1_2.fq.gz  FASTQ   DNA         20      5,000      250      250      250  125  250  125        0  250   93.52   86.62
S045_FKDL240081149-1A_H7H7NDRX5_L1_1.fq.gz  FASTQ   DNA        896    224,000      250      250      250  125  250  125        0  250   98.05   94.07
S045_FKDL240081149-1A_H7H7NDRX5_L1_2.fq.gz  FASTQ   DNA        896    224,000      250      250      250  125  250  125        0  250   97.21   91.81
S046_FKDL240081149-1A_H7H7NDRX5_L1_1.fq.gz  FASTQ   DNA     37,722  9,430,500      250      250      250  125  250  125        0  250   97.66   93.09
S046_FKDL240081149-1A_H7H7NDRX5_L1_2.fq.gz  FASTQ   DNA     37,722  9,430,500      250      250      250  125  250  125        0  250   97.11   91.85
S047_FKDL240081149-1A_H7H7NDRX5_L1_1.fq.gz  FASTQ   DNA          3        750      250      250      250  125  250  125        0  250   98.93   96.67
S047_FKDL240081149-1A_H7H7NDRX5_L1_2.fq.gz  FASTQ   DNA          3        750      250      250      250  125  250  125        0  250   99.47   97.73
