"","ASV00001","ASV00002","ASV00003","ASV00004","ASV00005","ASV00006","ASV00007","ASV00008","ASV00009","ASV00010","ASV00011","ASV00012","ASV00013","ASV00014","ASV00015","ASV00016","ASV00017","ASV00018","ASV00019","ASV00020","ASV00021","ASV00022","ASV00023","ASV00024","ASV00025","ASV00026","ASV00027","ASV00028","ASV00029","ASV00030","ASV00031","ASV00032","ASV00033","ASV00034","ASV00035","ASV00036","ASV00037","ASV00038","ASV00039","ASV00040","ASV00041","ASV00042","ASV00043","ASV00044","ASV00045","ASV00046","ASV00047","ASV00048","ASV00049","ASV00050","ASV00051","ASV00052","ASV00053","ASV00054","ASV00055","ASV00056","ASV00057","ASV00058","ASV00059","ASV00060","ASV00061","ASV00062","ASV00063","ASV00064","ASV00065","ASV00066","ASV00067","ASV00068","ASV00069","ASV00070","ASV00071","ASV00072","ASV00073","ASV00074","ASV00075","ASV00076","ASV00077","ASV00078","ASV00079","ASV00080","ASV00081","ASV00082","ASV00083","ASV00084","ASV00085","ASV00086","ASV00087","ASV00088","ASV00089","ASV00090","ASV00091","ASV00092","ASV00093","ASV00094","ASV00095","ASV00096","ASV00097","ASV00098","ASV00099","ASV00100","ASV00101","ASV00102","ASV00103","ASV00104","ASV00105","ASV00106","ASV00107","ASV00108","ASV00109","ASV00110","ASV00111","ASV00112","ASV00113","ASV00114","ASV00115","ASV00116","ASV00117","ASV00118","ASV00119","ASV00120","ASV00121","ASV00122","ASV00123","ASV00124","ASV00125","ASV00126","ASV00127","ASV00128","ASV00129","ASV00130","ASV00131","ASV00132","ASV00133","ASV00134","ASV00135","ASV00136","ASV00137","ASV00138","ASV00139","ASV00140","ASV00141","ASV00142","ASV00143","ASV00144","ASV00145","ASV00146","ASV00147","ASV00148","ASV00149","ASV00150","ASV00151","ASV00152","ASV00153","ASV00154","ASV00155","ASV00156","ASV00157","ASV00158","ASV00159","ASV00160","ASV00161","ASV00162","ASV00163","ASV00164","ASV00165","ASV00166","ASV00167","ASV00168","ASV00169","ASV00170","ASV00171","ASV00172","ASV00173","ASV00174","ASV00175","ASV00176","ASV00177","ASV00178","ASV00179","ASV00180","ASV00181","ASV00182","ASV00183","ASV00184","ASV00185","ASV00186","ASV00187","ASV00188","ASV00189","ASV00190","ASV00191","ASV00192","ASV00193","ASV00194","ASV00195","ASV00196","ASV00197","ASV00198","ASV00199","ASV00200","ASV00201","ASV00202","ASV00203","ASV00204","ASV00205","ASV00206","ASV00207","ASV00208","ASV00209","ASV00210","ASV00211","ASV00212","ASV00213","ASV00214","ASV00215","ASV00216","ASV00217","ASV00218","ASV00219","ASV00220","ASV00221","ASV00222","ASV00223","ASV00224","ASV00225","ASV00226","ASV00227","ASV00228","ASV00229","ASV00230","ASV00231","ASV00232","ASV00233"
"S033",16692,287,0,0,13346,0,0,0,5291,4845,4397,0,0,82,2728,1981,0,465,554,0,618,487,249,0,0,6,0,0,79,14,0,12,0,0,0,0,0,35,0,0,10,1,0,10,0,14,3,0,4,10,15,17,3,0,0,0,0,0,16,15,0,0,0,8,0,4,0,11,0,10,9,6,17,5,6,4,0,0,0,2,0,0,0,0,0,15,8,9,0,10,0,2,2,1,0,0,0,1,0,0,9,0,0,3,2,4,0,8,0,0,1,10,4,0,8,0,0,0,5,6,0,0,2,4,11,0,0,0,5,0,0,4,3,2,0,0,1,1,0,0,0,2,1,1,0,3,2,3,0,0,0,0,0,3,2,0,0,1,0,8,1,0,3,0,0,2,0,0,0,5,0,1,0,0,0,4,0,2,0,1,0,0,0,2,0,0,0,5,0,0,0,4,2,1,0,0,0,0,2,3,3,3,3,3,2,0,0,3,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"S034",403,62368,0,2,684,0,0,0,15,44,18,0,0,451,13,6,0,2305,2053,15,0,48,613,0,0,287,0,0,3,0,0,0,0,0,65,0,0,1,0,0,4,15,0,66,38,20,28,0,27,19,0,4,0,0,0,20,10,0,0,0,37,26,0,1,0,0,0,0,0,0,23,23,0,0,0,0,0,22,5,4,0,0,0,0,21,0,18,0,0,3,0,13,0,0,10,0,2,2,0,0,2,0,0,0,18,7,0,0,11,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,4,0,0,2,7,0,0,0,0,0,0,0,0,0,3,1,0,0,5,0,1,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5,1,1,2,0,0,4,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"S035",3267,16,0,0,39162,0,0,0,2715,4435,2030,0,0,2,2688,581,0,85,248,0,981,211,8,0,0,0,0,0,86,3,0,13,0,0,0,0,0,10,0,0,7,1,0,4,0,11,1,0,6,2,3,52,2,0,0,0,0,0,19,11,0,1,0,1,0,2,0,0,0,3,3,0,4,1,1,6,0,0,0,0,0,0,0,0,0,9,1,0,0,1,0,8,0,1,0,0,0,3,0,0,18,2,0,0,2,2,0,17,0,0,0,0,4,0,1,0,0,2,8,2,0,0,1,0,4,0,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,4,8,0,0,0,2,0,1,7,0,0,0,0,0,0,1,0,1,1,2,0,2,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
"S036",45355,7,0,0,2425,0,0,0,3509,1891,3191,0,3,3,1097,2047,0,5,8,0,105,450,12,0,0,0,0,0,19,10,0,12,0,0,0,0,0,40,0,0,15,8,0,3,12,9,1,0,2,9,33,2,12,0,0,4,4,3,5,22,0,0,0,4,0,28,0,24,0,23,4,0,11,21,18,22,0,0,0,4,0,0,0,0,0,10,1,8,0,12,2,0,1,2,0,0,1,4,1,0,0,3,0,17,0,4,0,1,0,0,0,8,6,0,7,0,0,1,6,2,0,0,0,0,3,0,0,2,2,0,1,2,0,8,0,2,8,6,0,0,0,7,0,1,0,6,0,6,0,0,0,2,0,2,2,0,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,1,1,0,0,0,0,0
"S037",51877,324,2,0,1113,0,0,0,2299,1048,1937,0,6,126,599,1809,0,95,86,0,31,508,334,0,0,7,0,0,12,10,0,11,0,0,1,0,0,35,0,0,21,6,0,0,6,6,8,0,2,3,27,1,8,0,0,1,1,4,18,9,3,0,0,1,0,18,0,15,0,10,7,1,11,17,18,9,0,0,0,2,0,0,0,0,0,2,2,17,0,5,0,0,0,3,0,0,0,3,0,0,0,1,0,8,0,1,0,0,0,0,0,6,0,0,7,0,0,3,3,10,0,0,0,2,1,2,0,3,0,0,0,3,0,7,0,3,7,10,0,0,0,4,0,1,0,5,0,4,0,0,1,0,0,7,4,0,0,3,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,1,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0
"S038",18,24266,0,0,25,0,0,0,0,0,0,0,7445,6719,0,1,0,237,86,2248,0,0,19,0,0,7,0,0,0,5,0,5,0,0,71,0,0,0,0,0,6,66,0,26,44,46,60,0,38,27,0,0,0,0,0,42,47,1,1,0,18,30,0,3,0,0,0,0,0,0,0,15,1,0,0,0,0,18,36,28,0,0,0,0,15,0,6,0,0,0,2,7,28,0,21,0,2,3,26,0,0,0,0,0,4,9,0,0,15,8,0,0,10,0,0,22,22,16,0,0,0,0,17,1,0,9,19,9,6,0,15,0,7,0,0,1,0,0,0,0,0,0,11,11,0,0,6,0,12,0,4,9,0,0,0,0,0,0,11,0,9,5,0,8,7,1,9,0,8,0,8,1,6,2,5,0,6,0,0,0,4,0,0,2,0,5,1,0,5,0,0,0,0,3,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S039",646,457,62418,0,274,0,0,0,65,80,98,0,142,20,23,37,0,16,9,5,4,7,2,455,378,2,272,265,3,133,0,114,163,147,1,135,126,0,118,115,51,16,112,2,8,0,2,88,7,14,0,0,49,72,70,2,0,51,0,0,0,0,55,36,54,1,52,0,48,1,0,1,0,0,0,2,42,1,0,0,39,38,37,37,0,0,0,0,34,0,27,1,0,24,0,31,25,14,2,29,0,23,28,0,1,0,0,0,0,0,24,0,0,24,0,1,0,0,0,1,21,21,0,13,0,0,0,0,0,18,2,0,0,0,17,11,0,0,17,16,16,0,0,0,14,0,0,0,0,13,1,1,12,0,0,0,12,0,0,0,0,2,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,6,0,0,3,6,0,5,0,1,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
"S040",350,3,45,0,5,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S041",0,0,0,16,0,5,23,24,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S042",0,0,0,19914,0,3,43026,39399,0,0,0,1,0,0,0,0,4076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
