"","input","filtered","denoised","merged","tabled","tabled2","nonchim","prop.last.first."
"S033",78819,73104,73068,72776,72776,72776,52597,0.667313718773392
"S034",79708,73587,73553,73306,73306,73306,69981,0.877967079841421
"S035",79896,73669,73628,73395,73395,73395,56826,0.711249624511865
"S036",76058,70874,70817,70516,70516,70516,60671,0.797693865208131
"S037",78996,73181,73154,72904,72904,72904,62657,0.79316674261988
"S038",75301,69681,69571,68478,68478,68478,42176,0.560098803468745
"S039",78000,72352,72214,71131,71131,71131,68266,0.875205128205128
"S040",454,422,422,422,422,422,416,0.916299559471366
"S041",78,70,70,70,70,70,70,0.897435897435897
"S042",116006,106496,106489,106487,106487,106487,106447,0.917599089702257
"S043",221,209,209,209,209,209,209,0.945701357466063
"S044",19,16,16,16,16,16,16,0.842105263157895
"S045",2555,2393,2393,2393,2393,2393,2393,0.936594911937378
"S046",109578,101642,101634,101628,101628,101628,101449,0.925815400901641
"S047",5,5,5,5,5,5,5,1
