"","OTU00001","OTU00002","OTU00003","OTU00004","OTU00005","OTU00006","OTU00007","OTU00008","OTU00009","OTU00010","OTU00011","OTU00012","OTU00013","OTU00014","OTU00015","OTU00016","OTU00017","OTU00018","OTU00019","OTU00020","OTU00021","OTU00022","OTU00023","OTU00024","OTU00025","OTU00026","OTU00027","OTU00028","OTU00029","OTU00030","OTU00031","OTU00032","OTU00033","OTU00034","OTU00035","OTU00036","OTU00037","OTU00038","OTU00039"
"S033",21637,3493,4,0,21195,0,0,5977,0,23,20,47,39,0,20,1,14,3,4,10,15,4,25,9,3,10,10,4,0,9,1,0,0,11,8,1,0,0,0
"S034",475,64704,0,2,3949,0,0,303,0,84,4,188,0,0,40,18,38,28,27,19,20,0,1,23,5,15,3,19,2,13,0,0,0,0,1,0,0,0,0
"S035",5516,2807,0,0,44561,0,0,3713,0,54,3,40,25,0,12,1,6,1,8,2,9,0,19,3,0,10,1,5,0,20,5,0,0,2,1,2,0,0,0
"S036",49106,1110,0,0,6488,0,0,3734,0,3,10,21,16,0,24,9,27,1,5,9,14,7,37,4,5,12,12,8,1,0,1,4,0,0,2,0,0,0,1
"S037",54418,1018,2,0,4599,0,0,2432,0,8,12,22,29,0,27,6,15,8,3,3,3,4,14,7,3,7,5,2,0,0,5,4,0,0,1,0,0,0,0
"S038",47,24519,0,0,14465,0,0,7,0,2358,6,171,6,0,75,67,44,60,38,27,42,31,44,5,39,29,0,52,2,18,16,5,0,0,0,3,0,0,0
"S039",1087,496,64196,0,1271,0,0,72,0,8,146,144,128,137,94,19,57,2,30,27,2,186,35,0,0,37,0,0,58,0,0,14,16,0,0,0,2,2,0
"S040",350,8,49,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S041",0,0,0,16,0,30,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S042",0,0,0,19914,0,43506,43026,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S043",0,0,0,171,0,22,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S044",0,0,0,3,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S045",0,0,0,2284,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S046",0,0,0,37480,0,55181,0,0,8788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S047",1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
