file                                             format  type  num_seqs     sum_len  min_len  avg_len  max_len   Q1   Q2   Q3  sum_gap  N50  Q20(%)  Q30(%)
S049_FKDL240081149-1A_H7TF5DRX5_flt_R1.fastq.gz  FASTQ   DNA     56,738  14,184,347      198      250      250  250  250  250        0  250   96.68    90.6
S049_FKDL240081149-1A_H7TF5DRX5_flt_R2.fastq.gz  FASTQ   DNA     56,738  14,184,391      175      250      250  250  250  250        0  250   97.03   90.95
S050_FKDL240081149-1A_H7TF5DRX5_flt_R1.fastq.gz  FASTQ   DNA     62,342  15,585,386      205      250      250  250  250  250        0  250   96.63   90.77
S050_FKDL240081149-1A_H7TF5DRX5_flt_R2.fastq.gz  FASTQ   DNA     62,342  15,585,392      214      250      250  250  250  250        0  250   96.95   91.02
S051_FKDL240081149-1A_H7TF5DRX5_flt_R1.fastq.gz  FASTQ   DNA     58,331  14,582,517      161      250      250  250  250  250        0  250   96.52   90.42
S051_FKDL240081149-1A_H7TF5DRX5_flt_R2.fastq.gz  FASTQ   DNA     58,331  14,582,607      204      250      250  250  250  250        0  250      97   91.14
S052_FKDL240081149-1A_H7TF5DRX5_flt_R1.fastq.gz  FASTQ   DNA     51,886  12,971,500      250      250      250  125  250  125        0  250   96.81   90.77
S052_FKDL240081149-1A_H7TF5DRX5_flt_R2.fastq.gz  FASTQ   DNA     51,886  12,971,480      240      250      250  250  250  250        0  250   96.95   90.57
S053_FKDL240081149-1A_H7TF5DRX5_flt_R1.fastq.gz  FASTQ   DNA     53,723  13,430,627      207      250      250  250  250  250        0  250    96.7   90.64
S053_FKDL240081149-1A_H7TF5DRX5_flt_R2.fastq.gz  FASTQ   DNA     53,723  13,430,665      188      250      250  250  250  250        0  250   96.77   90.21
S054_FKDL240081149-1A_H7TF5DRX5_flt_R1.fastq.gz  FASTQ   DNA     55,344  13,835,761      176      250      250  250  250  250        0  250   96.74   90.89
S054_FKDL240081149-1A_H7TF5DRX5_flt_R2.fastq.gz  FASTQ   DNA     55,344  13,835,880      220      250      250  250  250  250        0  250   96.95   90.93
S055_FKDL240081149-1A_H7TF5DRX5_flt_R1.fastq.gz  FASTQ   DNA     61,000  15,249,703      181      250      250  250  250  250        0  250   96.47   90.09
S055_FKDL240081149-1A_H7TF5DRX5_flt_R2.fastq.gz  FASTQ   DNA     61,000  15,249,726      163      250      250  250  250  250        0  250   97.02   91.05
S056_FKDL240081149-1A_H7TF5DRX5_flt_R1.fastq.gz  FASTQ   DNA         32       8,000      250      250      250  125  250  125        0  250   97.21   91.13
S056_FKDL240081149-1A_H7TF5DRX5_flt_R2.fastq.gz  FASTQ   DNA         32       8,000      250      250      250  125  250  125        0  250   97.84   91.71
