file                                             format  type  num_seqs    sum_len  min_len  avg_len  max_len   Q1   Q2   Q3  sum_gap  N50  Q20(%)  Q30(%)
S049_FKDL240081149-1A_HCGM3DRX5_flt_R1.fastq.gz  FASTQ   DNA     23,670  5,917,488      238      250      250  250  250  250        0  250   96.98   91.41
S049_FKDL240081149-1A_HCGM3DRX5_flt_R2.fastq.gz  FASTQ   DNA     23,670  5,917,500      250      250      250  125  250  125        0  250   97.25   91.29
S050_FKDL240081149-1A_HCGM3DRX5_flt_R1.fastq.gz  FASTQ   DNA     25,554  6,388,385      146      250      250  250  250  250        0  250    96.8   91.35
S050_FKDL240081149-1A_HCGM3DRX5_flt_R2.fastq.gz  FASTQ   DNA     25,554  6,388,451      201      250      250  250  250  250        0  250   97.21   91.48
S051_FKDL240081149-1A_HCGM3DRX5_flt_R1.fastq.gz  FASTQ   DNA     24,095  6,023,750      250      250      250  125  250  125        0  250   96.75   91.14
S051_FKDL240081149-1A_HCGM3DRX5_flt_R2.fastq.gz  FASTQ   DNA     24,095  6,023,688      220      250      250  250  250  250        0  250   97.19   91.51
S052_FKDL240081149-1A_HCGM3DRX5_flt_R1.fastq.gz  FASTQ   DNA     21,874  5,468,500      250      250      250  125  250  125        0  250    96.9   91.26
S052_FKDL240081149-1A_HCGM3DRX5_flt_R2.fastq.gz  FASTQ   DNA     21,874  5,468,500      250      250      250  125  250  125        0  250   97.06   90.65
S053_FKDL240081149-1A_HCGM3DRX5_flt_R1.fastq.gz  FASTQ   DNA     22,275  5,568,750      250      250      250  125  250  125        0  250   96.97   91.44
S053_FKDL240081149-1A_HCGM3DRX5_flt_R2.fastq.gz  FASTQ   DNA     22,275  5,568,737      237      250      250  250  250  250        0  250   97.07   90.61
S054_FKDL240081149-1A_HCGM3DRX5_flt_R1.fastq.gz  FASTQ   DNA     23,135  5,783,729      229      250      250  250  250  250        0  250   96.93   91.46
S054_FKDL240081149-1A_HCGM3DRX5_flt_R2.fastq.gz  FASTQ   DNA     23,135  5,783,633      156      250      250  250  250  250        0  250   97.32   91.68
S055_FKDL240081149-1A_HCGM3DRX5_flt_R1.fastq.gz  FASTQ   DNA     24,940  6,234,988      238      250      250  250  250  250        0  250   96.73   90.85
S055_FKDL240081149-1A_HCGM3DRX5_flt_R2.fastq.gz  FASTQ   DNA     24,940  6,234,938      201      250      250  250  250  250        0  250   97.37   91.73
S056_FKDL240081149-1A_HCGM3DRX5_flt_R1.fastq.gz  FASTQ   DNA         14      3,500      250      250      250  125  250  125        0  250   95.86    89.6
S056_FKDL240081149-1A_HCGM3DRX5_flt_R2.fastq.gz  FASTQ   DNA         14      3,500      250      250      250  125  250  125        0  250   97.46      92
S058_FKDL240081149-1A_HCGM3DRX5_flt_R1.fastq.gz  FASTQ   DNA         11      2,750      250      250      250  125  250  125        0  250   92.47   83.16
S058_FKDL240081149-1A_HCGM3DRX5_flt_R2.fastq.gz  FASTQ   DNA         11      2,750      250      250      250  125  250  125        0  250      92   83.96
S060_FKDL240081149-1A_HCGM3DRX5_flt_R1.fastq.gz  FASTQ   DNA          1        250      250      250      250  125  250  125        0  250    92.8    79.2
S060_FKDL240081149-1A_HCGM3DRX5_flt_R2.fastq.gz  FASTQ   DNA          1        250      250      250      250  125  250  125        0  250    92.4    82.4
S062_FKDL240081149-1A_HCGM3DRX5_flt_R1.fastq.gz  FASTQ   DNA          2        500      250      250      250  125  250  125        0  250    81.6    69.6
S062_FKDL240081149-1A_HCGM3DRX5_flt_R2.fastq.gz  FASTQ   DNA          2        500      250      250      250  125  250  125        0  250    81.2    72.4
S063_FKDL240081149-1A_HCGM3DRX5_flt_R1.fastq.gz  FASTQ   DNA          1        250      250      250      250  125  250  125        0  250    84.8    80.8
S063_FKDL240081149-1A_HCGM3DRX5_flt_R2.fastq.gz  FASTQ   DNA          1        250      250      250      250  125  250  125        0  250      84    80.4
