file                                   format  type  num_seqs     sum_len  min_len  avg_len  max_len    Q1   Q2    Q3  sum_gap  N50  Q20(%)  Q30(%)
OCI-004-R001_S1_L001_R1_001.fastq.gz   FASTQ   DNA     95,085  14,357,835      151      151      151  75.5  151  75.5        0  151   98.56   96.91
OCI-004-R002_S2_L001_R1_001.fastq.gz   FASTQ   DNA     92,090  13,905,590      151      151      151  75.5  151  75.5        0  151   98.62   97.01
OCI-004-R003_S3_L001_R1_001.fastq.gz   FASTQ   DNA     91,617  13,834,167      151      151      151  75.5  151  75.5        0  151   98.58   96.95
OCI-004-R004_S4_L001_R1_001.fastq.gz   FASTQ   DNA     89,657  13,538,207      151      151      151  75.5  151  75.5        0  151   98.58   96.95
OCI-004-R005_S5_L001_R1_001.fastq.gz   FASTQ   DNA     86,643  13,083,093      151      151      151  75.5  151  75.5        0  151   98.79   97.26
OCI-004-R006_S6_L001_R1_001.fastq.gz   FASTQ   DNA     95,378  14,402,078      151      151      151  75.5  151  75.5        0  151   98.46   96.72
OCI-004-R007_S7_L001_R1_001.fastq.gz   FASTQ   DNA    103,963  15,698,413      151      151      151  75.5  151  75.5        0  151   98.57   96.87
OCI-004-R008_S8_L001_R1_001.fastq.gz   FASTQ   DNA    147,928  22,337,128      151      151      151  75.5  151  75.5        0  151   98.49    96.8
OCI-004-R009_S9_L001_R1_001.fastq.gz   FASTQ   DNA    135,721  20,493,871      151      151      151  75.5  151  75.5        0  151   97.19   94.89
OCI-004-R010_S10_L001_R1_001.fastq.gz  FASTQ   DNA    140,664  21,240,264      151      151      151  75.5  151  75.5        0  151   98.53   96.86
OCI-004-R011_S11_L001_R1_001.fastq.gz                       0           0        0        0        0     0    0     0        0    0       0       0
OCI-004-R012_S12_L001_R1_001.fastq.gz  FASTQ   DNA         10       1,510      151      151      151  75.5  151  75.5        0  151   99.34   98.08
