file                                   format  type  num_seqs     sum_len  min_len  avg_len  max_len    Q1   Q2    Q3  sum_gap  N50  Q20(%)  Q30(%)
OCI-004-R001_S1_L001_flt_R1.fastq.gz   FASTQ   DNA     94,285  14,229,496      111    150.9      151   151  151   151        0  151   98.75   97.14
OCI-004-R001_S1_L001_flt_R2.fastq.gz   FASTQ   DNA     94,285  14,229,535      111    150.9      151   151  151   151        0  151    98.7   96.87
OCI-004-R002_S2_L001_flt_R1.fastq.gz   FASTQ   DNA     91,306  13,782,308      111    150.9      151   151  151   151        0  151   98.77   97.19
OCI-004-R002_S2_L001_flt_R2.fastq.gz   FASTQ   DNA     91,306  13,782,308      111    150.9      151   151  151   151        0  151   98.68   96.84
OCI-004-R003_S3_L001_flt_R1.fastq.gz   FASTQ   DNA     90,668  13,685,975      107    150.9      151   151  151   151        0  151   98.77   97.18
OCI-004-R003_S3_L001_flt_R2.fastq.gz   FASTQ   DNA     90,668  13,685,975      107    150.9      151   151  151   151        0  151    98.6   96.64
OCI-004-R004_S4_L001_flt_R1.fastq.gz   FASTQ   DNA     88,969  13,430,360      111      151      151   151  151   151        0  151   98.76   97.17
OCI-004-R004_S4_L001_flt_R2.fastq.gz   FASTQ   DNA     88,969  13,430,360      111      151      151   151  151   151        0  151   98.69   96.91
OCI-004-R005_S5_L001_flt_R1.fastq.gz   FASTQ   DNA     86,278  13,024,025      111      151      151   151  151   151        0  151   98.88   97.36
OCI-004-R005_S5_L001_flt_R2.fastq.gz   FASTQ   DNA     86,278  13,024,025      111      151      151   151  151   151        0  151   98.79   97.09
OCI-004-R006_S6_L001_flt_R1.fastq.gz   FASTQ   DNA     94,319  14,235,541      111    150.9      151   151  151   151        0  151   98.73   97.08
OCI-004-R006_S6_L001_flt_R2.fastq.gz   FASTQ   DNA     94,319  14,235,541      111    150.9      151   151  151   151        0  151   98.66   96.76
OCI-004-R007_S7_L001_flt_R1.fastq.gz   FASTQ   DNA    103,098  15,561,405      109    150.9      151   151  151   151        0  151   98.74   97.08
OCI-004-R007_S7_L001_flt_R2.fastq.gz   FASTQ   DNA    103,098  15,561,485      109    150.9      151   151  151   151        0  151   98.69   96.76
OCI-004-R008_S8_L001_flt_R1.fastq.gz   FASTQ   DNA    147,328  22,246,171      117      151      151   151  151   151        0  151   98.61   96.94
OCI-004-R008_S8_L001_flt_R2.fastq.gz   FASTQ   DNA    147,328  22,246,171      117      151      151   151  151   151        0  151    99.2   97.71
OCI-004-R009_S9_L001_flt_R1.fastq.gz   FASTQ   DNA    134,669  20,334,571      108      151      151   151  151   151        0  151   97.45   95.19
OCI-004-R009_S9_L001_flt_R2.fastq.gz   FASTQ   DNA    134,669  20,334,571      108      151      151   151  151   151        0  151   99.12   97.53
OCI-004-R010_S10_L001_flt_R1.fastq.gz  FASTQ   DNA    140,118  21,157,005      111      151      151   151  151   151        0  151   98.63   96.98
OCI-004-R010_S10_L001_flt_R2.fastq.gz  FASTQ   DNA    140,118  21,157,040      111      151      151   151  151   151        0  151   99.23   97.76
OCI-004-R011_S11_L001_flt_R1.fastq.gz                       0           0        0        0        0     0    0     0        0    0       0       0
OCI-004-R011_S11_L001_flt_R2.fastq.gz                       0           0        0        0        0     0    0     0        0    0       0       0
OCI-004-R012_S12_L001_flt_R1.fastq.gz  FASTQ   DNA         10       1,510      151      151      151  75.5  151  75.5        0  151   99.34   98.08
OCI-004-R012_S12_L001_flt_R2.fastq.gz  FASTQ   DNA         10       1,510      151      151      151  75.5  151  75.5        0  151   99.87   99.01
