"","input","filtered","denoised","merged","tabled","tabled2","nonchim","prop.last.first."
"OCI-004-R001",93542,91825,91780,90530,90530,90530,82593,0.88295097389408
"OCI-004-R002",90665,88963,88958,88155,88155,88155,85113,0.938763580212872
"OCI-004-R003",90010,88172,88155,87056,87056,87056,77730,0.863570714365071
"OCI-004-R004",88340,86745,86711,85880,85880,85880,82334,0.932012678288431
"OCI-004-R005",85666,84417,84381,83979,83979,83979,81757,0.954369294702683
"OCI-004-R006",93492,91777,91755,90611,90611,90611,72642,0.776986266204595
"OCI-004-R007",102365,100480,100461,99744,99744,99744,99277,0.969833439163777
"OCI-004-R008",146460,143967,143962,143942,143942,143942,143942,0.982807592516728
"OCI-004-R009",133987,127050,127037,125509,125509,125509,125508,0.936717741273407
"OCI-004-R010",139341,137038,137032,137016,137016,137016,136965,0.982948306672121
"OCI-004-R012",10,10,10,10,10,10,10,1
