"","OTU00001","OTU00002","OTU00003","OTU00004","OTU00005","OTU00006","OTU00007","OTU00008","OTU00009","OTU00010","OTU00011","OTU00012","OTU00013","OTU00014","OTU00015","OTU00016","OTU00017","OTU00018","OTU00019","OTU00020","OTU00021","OTU00022","OTU00023","OTU00024","OTU00025","OTU00026","OTU00027","OTU00028","OTU00029","OTU00030","OTU00031","OTU00032","OTU00033","OTU00034","OTU00035","OTU00036","OTU00037","OTU00038","OTU00039","OTU00040","OTU00041","OTU00042","OTU00043"
"OCI-004-R001",393,60932,11294,9503,0,152,0,1,55,0,0,107,0,3,18,0,11,26,0,7,3,5,8,0,20,0,2,0,5,7,6,1,3,6,0,18,4,2,0,0,1,0,0
"OCI-004-R002",226,79949,2176,1948,0,400,0,1,89,0,0,5,0,66,44,0,53,34,0,22,11,19,9,0,0,0,8,0,5,16,5,6,0,3,8,0,0,5,3,0,0,0,2
"OCI-004-R003",4,21410,46319,9870,0,4,0,1,39,0,0,16,0,1,9,0,4,10,3,4,1,2,2,0,9,0,2,0,2,0,4,0,0,2,0,10,2,0,0,0,0,0,0
"OCI-004-R004",13,74007,3099,4751,0,121,0,4,32,0,0,182,0,9,10,0,13,12,0,17,5,3,7,0,14,0,1,0,4,3,8,0,2,3,0,0,6,0,1,0,0,6,1
"OCI-004-R005",4,78113,628,2455,0,184,0,14,58,0,0,189,0,4,28,0,13,11,0,15,4,3,5,1,4,0,1,0,0,2,5,1,1,5,0,2,5,2,0,0,0,0,0
"OCI-004-R006",69,47660,6175,17700,0,4,0,2,249,0,0,47,6,172,70,0,153,87,0,61,29,36,9,5,0,0,17,0,17,5,9,14,2,14,13,0,0,4,8,0,5,0,0
"OCI-004-R007",109,986,95795,562,0,172,0,810,130,2,0,1,159,20,59,0,6,58,127,53,16,0,11,45,0,69,7,38,1,0,19,1,14,1,0,0,0,2,0,0,2,2,0
"OCI-004-R008",143941,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OCI-004-R009",124325,0,0,1,1,0,961,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OCI-004-R010",135313,0,0,0,1205,0,0,0,0,304,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
"OCI-004-R012",6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
