"","ASV00001","ASV00002","ASV00003","ASV00004","ASV00005","ASV00006","ASV00007","ASV00008","ASV00009","ASV00010","ASV00011","ASV00012","ASV00013","ASV00014","ASV00015","ASV00016","ASV00018","ASV00019","ASV00020"
"R001",0,0.456936706548543,0,0,0.129326879167047,0.185679057448169,0.106128413553749,0.00785459859347886,0.0555301854050598,0.019179833774774,0,0,0.00785459859347886,0.0067586080920632,0.00803726367704813,0,0,0,0
"R002",0,0.0057929036929761,0.894486397020792,0,0,0,0,0.0229647253542981,0,0.0188269370021723,0,0,0.0132409227268025,0.0201717182166132,0,0,0,0,0
"R003",0,0.0903516988844418,0,0,0.59627011836839,0.14229753895938,0.12501064463936,0,0.0275057481052542,0,0,0,0.00885633994720259,0,0,0,0,0,0
"R004",0,0.733801439872011,0,0,0.0356412763309928,0.118478357479335,0.0562616656297218,0,0.041240778597458,0,0,0,0,0,0,0,0,0,0
"R005",0,0.846480869154464,0,0,0.00651865847897969,0.0425129900803023,0.0173830892772792,0.012470477090222,0.0170051960321209,0.0282475200755786,0,0,0,0,0.0156825696740671,0,0,0,0
"R006",0,0,0.639502207948615,0,0,0,0,0.154456041750301,0,0,0.0886190285026094,0.08129265355279,0,0,0,0,0,0,0
"R007",0,0,0,0.963430771081439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00697702393840972
"R008",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R009",0.987306064880113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00705218617771509,0,0
"R010",0.978823529411765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00862745098039216,0,0.00549019607843137,0
