"","Sample_ID","Sample_Name2","Description","Sample_Project","Description2","Primer","sample_nc","rarefied","original_reads","original_n_taxa","original_coverage","rarefied_reads","rarefied_n_taxa","rarefied_pred_n_taxa","rarefied_coverage","correct_singletons"
"R001","OCI-004-R001","R001","MiMam_Ch01-02","Cetacea_eDNA","Ch01-02","MiMammalF-R","sample",TRUE,82593,60,0.999927355497989,10949,42,42.1667995857088,0.999000020089052,FALSE
"R002","OCI-004-R002","R002","MiMam_Ch03","Cetacea_eDNA","Ch03","MiMammalF-R","sample",TRUE,85113,51,0.99995300393005,9667,38,35.6428098621328,0.999000021831876,FALSE
"R003","OCI-004-R003","R003","MiMam_Ch04","Cetacea_eDNA","Ch04","MiMammalF-R","sample",TRUE,77730,54,0.999922812374068,11743,37,33.4182327839524,0.998999981513207,FALSE
"R004","OCI-004-R004","R004","MiMam_Ch05","Cetacea_eDNA","Ch05","MiMammalF-R","sample",TRUE,82334,57,0.999866398433004,11251,37,36.246340836106,0.999000004514765,FALSE
"R005","OCI-004-R005","R005","MiMam_Ch06-07","Cetacea_eDNA","Ch06-07","MiMammalF-R","sample",TRUE,81757,58,0.999889919478159,10585,31,35.3551569652526,0.998999983386574,FALSE
"R006","OCI-004-R006","R006","MiMam_Ch08","Cetacea_eDNA","Ch08","MiMammalF-R","sample",TRUE,72642,60,0.99997246923439,9964,49,46.9346328782024,0.999000051561008,FALSE
"R007","OCI-004-R007","R007","MiMam_Ch09","Cetacea_eDNA","Ch09","MiMammalF-R","sample",TRUE,99277,58,0.999909345372873,8313,43,40.253995648581,0.998999924924283,FALSE
"R008","OCI-004-R008","R008","MiMam_OP01","Cetacea_eDNA","OP01","MiMammalF-R","sample",TRUE,143942,6,0.999993052853888,1,1,0.999999999999999,0.999444317407531,FALSE
"R009","OCI-004-R009","R009","MiMam_OP02","Cetacea_eDNA","OP02","MiMammalF-R","sample",TRUE,125508,9,0.999976097331667,709,4,3.9066561712066,0.999000468905427,FALSE
"R010","OCI-004-R010","R010","MiMam_BT2","Cetacea_eDNA","BT2","MiMammalF-R","sample",TRUE,136965,9,1,1275,7,6.47008983448155,0.998999471362949,FALSE
