"","ASV00001","ASV00002","ASV00003","ASV00004","ASV00005","ASV00006","ASV00007","ASV00008","ASV00009","ASV00010","ASV00011","ASV00012","ASV00013","ASV00014","ASV00015","ASV00016","ASV00017","ASV00018","ASV00019","ASV00020","ASV00021","ASV00022","ASV00023","ASV00024","ASV00025","ASV00026","ASV00027","ASV00028","ASV00029","ASV00030","ASV00031","ASV00032","ASV00033","ASV00034","ASV00035","ASV00036","ASV00037","ASV00038","ASV00039","ASV00040","ASV00041","ASV00042","ASV00043","ASV00044","ASV00045","ASV00046","ASV00047","ASV00049","ASV00050","ASV00051","ASV00054","ASV00055","ASV00056","ASV00057","ASV00058","ASV00060","ASV00064","ASV00065","ASV00066","ASV00067","ASV00068","ASV00069","ASV00072","ASV00073","ASV00075","ASV00077","ASV00078","ASV00079","ASV00081","ASV00083","ASV00084","ASV00085","ASV00086","ASV00087","ASV00088","ASV00089","ASV00091","ASV00092","ASV00093","ASV00095","ASV00098","ASV00100","ASV00101","ASV00103","ASV00104","ASV00105","ASV00110","ASV00111","ASV00112","ASV00123","ASV00125"
"R013",0.364837276330011,0.58298306713102,0,0,0,0,0,0.0114987390416717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R014",0.782830956858306,0.0366969127124678,0,0,0,0.00763149727055301,0,0.0513026491154401,0.055538312672302,0,0,0,0,0,0,0,0,0.00580578022018148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0054771511511146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R015",0.697003745318352,0.282958801498127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R016",0.202140416770369,0.734552118922099,0,0,0,0,0,0,0,0.00796434147114058,0,0,0,0,0,0,0,0.0262913772427993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R017",0.0967999419490603,0.879326609099485,0,0,0,0,0,0,0,0.00517620878987979,0,0,0,0,0,0,0,0,0,0,0,0.00568415451225117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R018",0.541078977889184,0,0,0.310935687829698,0,0.0236634367166748,0,0.0102323319241274,0,0.0245613378727225,0,0,0,0,0,0,0,0,0,0,0,0.00888548019005574,0,0,0,0,0.0133188671480415,0,0,0,0,0,0,0,0,0,0.00568670732163568,0,0,0,0,0,0.0137678177260653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R019",0.0157313300927972,0.00637796435410222,0.875681249079393,0.0125497127706584,0,0,0,0,0,0.0267491530416851,0,0,0,0,0,0,0,0,0,0,0,0.0132125497127707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R020",0,0,0,0,0.162625294811321,0,0.0723393278301887,0,0,0,0.0718971108490566,0.00652270047169811,0.0304392688679245,0.0375147405660377,0.0731869103773585,0,0.0592570754716981,0,0,0.0126768867924528,0.0462853773584906,0,0,0,0.021373820754717,0,0,0,0,0.00751768867924528,0,0.0324292452830189,0.0266804245283019,0,0.023658608490566,0.023658608490566,0,0,0.00707547169811321,0,0,0,0,0,0.00888119103773585,0.0100235849056604,0,0,0,0,0,0.0102078419811321,0,0,0,0.00913915094339623,0,0,0,0,0,0,0,0,0,0.00814416273584906,0.0104658018867925,0,0.00921285377358491,0,0.00755454009433962,0,0.00980247641509434,0,0,0.0060436320754717,0,0,0.00821786556603774,0,0.00611733490566038,0,0.00843897405660377,0,0,0,0,0,0,0.00589622641509434,0.00608048349056604
"R021",0,0,0,0,0.167866104171837,0.0824165219069678,0.0906333581492817,0,0.0175366035238647,0,0.04919072434996,0,0.0549535390299722,0.0326743320373894,0.0233269914798577,0,0.0201836380180329,0,0,0.0437863622576998,0.018777400943006,0,0.0478120605509141,0,0.0150550086855819,0.0438690820856426,0,0,0,0.0158822069650095,0,0.0109741638404059,0.00981608624920727,0,0.00827198279427579,0.00981608624920727,0,0,0.00670030606336339,0,0,0,0,0,0.0129318664350511,0.00865800865800866,0,0,0,0,0.00791353020652384,0,0.00727934485896269,0,0.0127940000551466,0.00606612071580224,0.00783081037858108,0,0.0108638707364822,0,0,0.0102021121129401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00609369399178316,0,0,0.00559737502412662,0,0,0,0.00548708192020294,0,0
"R022",0,0,0,0,0.0310036290827181,0,0,0,0,0,0,0.0832499061444125,0.012670504317357,0.0236203228632211,0,0.0683581529220373,0,0,0.054123388812414,0,0,0,0,0.0417031660618195,0.00509948692278814,0,0,0.0379489425603804,0.037135527468402,0.0167688649730947,0.0321924665248404,0,0,0.025716430984858,0,0,0,0.0254974346139407,0.0139219121511701,0.0237454636466024,0,0.0219622074834188,0,0.0183018395695157,0,0,0.0166437241897134,0.0160493054686522,0.015548742335127,0.0157051683143536,0,0,0,0.0122012263796771,0,0,0,0.00829057689901139,0,0.00960455512451508,0.00791515454886748,0,0.00519334251032411,0.00860342885746465,0.00832186209485671,0,0,0.00707045426104367,0,0.00747716180703291,0,0.00725816543611563,0,0.00591290201476661,0.0062570391690652,0,0.00641346514829183,0.00613189838568389,0,0.00575647603553998,0,0,0,0.0055374796646227,0,0.00550619446877737,0.00506820172694281,0.00509948692278814,0,0,0
