"","Sample_ID","Sample_Name2","Description","Sample_Project","Description2","Primer","sample_nc","rarefied","original_reads","original_n_taxa","original_coverage","rarefied_reads","rarefied_n_taxa","rarefied_pred_n_taxa","rarefied_coverage","correct_singletons"
"R013","OCI-004-R013","R013","Ceto2_Ch01-02","Cetacea_eDNA","Ch01-02","Ceto2F-R","sample",TRUE,136056,137,0.999720705724816,33308,84,83.4849645883712,0.998999991865,FALSE
"R014","OCI-004-R014","R014","Ceto2_Ch03","Cetacea_eDNA","Ch03","Ceto2F-R","sample",TRUE,135185,214,0.999644934960251,54773,170,166.184042333442,0.999000008733914,FALSE
"R015","OCI-004-R015","R015","Ceto2_Ch04","Cetacea_eDNA","Ch04","Ceto2F-R","sample",TRUE,162119,84,0.999845793201534,10680,32,34.3410915956506,0.998999990111659,FALSE
"R016","OCI-004-R016","R016","Ceto2_Ch05","Cetacea_eDNA","Ch05","Ceto2F-R","sample",TRUE,150381,182,0.999601015194683,44197,115,118.648463309287,0.999000005331098,FALSE
"R017","OCI-004-R017","R017","Ceto2_Ch06-07","Cetacea_eDNA","Ch06-07","Ceto2F-R","sample",TRUE,141934,163,0.999570223871675,41343,98,103.171709728969,0.998999997593933,FALSE
"R018","OCI-004-R018","R018","Ceto2_Ch08","Cetacea_eDNA","Ch08","Ceto2F-R","sample",TRUE,136159,233,0.999662162917327,53458,194,185.581711173268,0.99899999065835,FALSE
"R019","OCI-004-R019","R019","Ceto2_Ch09","Cetacea_eDNA","Ch09","Ceto2F-R","sample",TRUE,125403,284,0.999521547506784,67890,262,244.427571855295,0.99900000757084,FALSE
"R020","OCI-004-R020","R020","Ceto2_OP01","Cetacea_eDNA","OP01","Ceto2F-R","sample",TRUE,62500,244,0.999568006144011,27136,224,221.705944042588,0.998999992511526,FALSE
"R021","OCI-004-R021","R021","Ceto2_OP02","Cetacea_eDNA","OP02","Ceto2F-R","sample",TRUE,82360,255,0.999696461960702,36267,234,228.859161518004,0.999000004638403,FALSE
"R022","OCI-004-R022","R022","Ceto2_BT2","Cetacea_eDNA","BT2","Ceto2F-R","sample",TRUE,92927,392,0.99977401917407,31964,367,365.126877576152,0.999000013327453,FALSE
